Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1984-01-31,3.6,3.7,3.6,3.7
1984-02-29,3.8,3.8,3.7,3.7
1984-03-31,4.4,4.4,4.2,4.2
1984-04-30,4.2,4.2,4.2,4.2
1984-05-31,4.2,4.2,4.2,4.2
1984-06-30,4.5,4.5,4.1,4.1
1984-07-31,4.2,4.2,3.8,4
1984-08-31,4.1,4.1,4,4.1
1984-09-30,4.4,4.4,4.3,4.4
1984-10-31,4.4,4.4,4.3,4.3
1984-11-30,4.4,4.4,4.1,4.1
1984-12-31,4.2,4.2,4,4
1985-01-31,4.4,4.4,4.2,4.3
1985-02-28,4.2,4.3,4,4
1985-03-31,4.1,4.6,4.1,4.6
1985-04-30,4.5,4.6,4.5,4.5
1985-05-31,4.2,4.5,4.2,4.3
1985-06-30,5,5.1,5,5
1985-07-31,4.9,5,4.9,5
1985-08-31,5.1,5.3,5.1,5.2
1985-09-30,5.2,5.2,5,5
1985-10-31,5,5,4.9,4.9
1985-11-30,4.9,5,4.9,5
1985-12-31,4.9,4.9,4.7,4.9
1986-01-31,4.9,5.2,4.9,5.2
1986-02-28,6,6,5.8,5.9
1986-03-31,5.8,5.9,5.7,5.8
1986-04-30,5.6,5.8,5.6,5.7
1986-05-31,5.6,5.7,5.6,5.6
1986-06-30,5.7,5.9,5.6,5.7
1986-07-31,5.7,5.8,5.7,5.8
1986-08-31,6,6.5,6,6.2
1986-09-30,7.7,8.9,7.7,8.5
1986-10-31,8.9,8.9,8.1,8.1
1986-11-30,8.2,8.2,7.7,7.7
1986-12-31,7.9,8.1,7.8,8.1
1987-01-31,8.1,8.2,7.9,7.9
1987-02-28,9.9,9.9,9.7,9.7
1987-03-31,9.8,10.2,9.8,10.2
1987-04-30,10.3,11.1,10.3,11.1
1987-05-31,11.6,12,11.3,12
1987-06-30,11.5,11.8,11.3,11.8
1987-07-31,11.8,12.2,11.8,12.2
1987-08-31,13.2,13.3,12.9,12.9
1987-09-30,13.2,13.9,13.2,13.8
1987-10-31,13.8,14.4,13.8,14.4
1987-11-30,14.4,15.9,14.3,15.9
1987-12-31,15.5,16,15.3,15.5
1988-01-31,15.1,15.2,15,15
1988-02-29,17.4,17.4,16.5,16.5
1988-03-31,16.8,18.2,16.8,18.2
1988-04-30,18.1,18.4,17.9,17.9
1988-05-31,17.8,19.4,17.8,19.4
1988-06-30,20.1,20.1,19.5,19.6
1988-07-31,19.8,19.8,19.4,19.4
1988-08-31,20.2,20.4,20,20.3
1988-09-30,20.6,20.6,19.2,19.2
1988-10-31,19.4,20.3,19.4,20.3
1988-11-30,20.6,21.1,20.6,21.1
1988-12-31,21.6,21.6,20.9,21.2
1989-01-31,21.2,21.2,20.3,20.3
1989-02-28,20.3,21.8,20,21.8
1989-03-31,21.8,22.7,21.8,22.2
1989-04-30,23.5,26.6,23.5,26.6
1989-05-31,25.9,30.9,25.9,30.9
1989-06-30,31.5,32,31,32
1989-07-31,32.1,32.3,30.9,31.4
1989-08-31,37.3,39.3,37.3,38.6
1989-09-30,40.3,67.1,40.3,67.1
1989-10-31,66.9,91.4,65.8,91.4
1989-11-30,107.5,157.4,107.5,157.4
1989-12-31,170.8,262.5,170.8,262.5
1990-01-31,383.6,403.9,383.6,403.9
1990-02-28,406.1,406.1,391.2,391.2
1990-03-31,386.3,386.3,347.9,347.9
1990-04-30,355.8,363,352.8,352.8
1990-05-31,355.3,355.4,351.4,355.4
1990-06-30,344.3,344.3,334.4,338.4
1990-07-31,342.8,358,341.9,358
1990-08-31,374.1,397.9,374.1,376.4
1990-09-30,376.4,387.9,365.6,387.9
1990-10-31,372,379.3,353.8,357
1990-11-30,362.1,367.4,362.1,367.4
1990-12-31,359.6,360.3,357.1,360.3
1991-01-31,371.6,384.3,350.1,350.1
1991-02-28,350.3,353.8,340.4,350.6
1991-03-31,350.2,352.6,340.5,341.4
1991-04-30,342.5,348.8,336.4,339.8
1991-05-31,339.8,406.1,339.1,405.1
1991-06-30,410.8,428.4,410.8,423.9
1991-07-31,426.2,431.9,412.5,419
1991-08-31,418.5,418.5,397.7,397.7
1991-09-30,398.3,400.5,387,396.5
1991-10-31,393.6,409.7,393.6,402.8
1991-11-30,400.8,413.9,393.5,413.9
1991-12-31,415.2,415.2,387.2,389.2
1992-01-31,387.2,412.1,385.5,412.1
1992-02-29,413.1,471.6,407,467.4
1992-03-31,466,471.3,455.2,466.3
1992-04-30,465,469.4,457.9,463.9
1992-05-31,464.7,468.7,459.1,467.9
