Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2005-11-30,5.207,5.357,5.14,5.333
2005-12-31,5.322,5.397,5.024,5.1
2006-01-31,5.114,5.148,4.765,5.051
2006-02-28,5.041,5.041,4.588,4.622
2006-03-31,4.622,5.031,4.53,4.991
2006-04-30,4.995,5.24,4.917,5.169
2006-05-31,5.169,5.444,4.959,5.331
2006-06-30,5.33,6.063,5.291,5.685
2006-07-31,5.685,5.848,5.388,5.601
2006-08-31,5.594,5.737,5.498,5.594
2006-09-30,5.586,5.673,5.384,5.51
2006-10-31,5.497,5.525,5.281,5.301
2006-11-30,5.284,5.293,5.14,5.173
2006-12-31,5.177,5.233,5.057,5.223
2007-01-31,5.226,5.272,5.075,5.16
2007-02-28,5.161,5.293,5.123,5.224
2007-03-31,5.227,5.247,5.155,5.209
2007-04-30,5.212,5.365,5.207,5.327
2007-05-31,5.322,5.358,5.246,5.327
2007-06-30,5.325,5.689,5.303,5.641
2007-07-31,5.636,5.708,5.544,5.599
2007-08-31,5.609,5.846,5.555,5.789
2007-09-30,5.796,5.796,5.575,5.7
2007-10-31,5.689,5.87,5.443,5.514
2007-11-30,5.499,5.868,5.493,5.777
2007-12-31,5.791,6.013,5.719,5.916
2008-01-31,5.922,5.998,5.67,5.688
2008-02-29,5.691,6.01,5.621,5.973
2008-03-31,5.976,6.2,5.91,5.971
2008-04-30,5.974,6.088,5.918,5.981
2008-05-31,5.99,6.304,5.969,6.292
2008-06-30,6.304,6.637,6.271,6.628
2008-07-31,6.628,6.797,6.247,6.271
2008-08-31,6.252,6.318,5.922,6.069
2008-09-30,6.071,6.075,5.786,5.873
2008-10-31,5.903,7.811,5.786,6.623
2008-11-30,6.624,6.632,5.876,5.905
2008-12-31,5.93,6.02,5.386,5.387
2009-01-31,5.387,5.784,5.129,5.755
2009-02-28,5.755,6.306,5.684,6.174
2009-03-31,6.174,6.429,5.95,6.297
2009-04-30,6.297,6.322,6.026,6.209
2009-05-31,6.209,6.426,6.184,6.303
2009-06-30,6.303,6.494,6.223,6.269
2009-07-31,6.227,6.305,6.114,6.114
2009-08-31,6.115,6.216,5.963,6.118
2009-09-30,6.118,6.309,6.057,6.181
2009-10-31,6.182,6.259,6.01,6.147
2009-11-30,6.147,6.2,6.094,6.193
2009-12-31,6.193,6.277,6.118,6.259
2010-01-31,6.259,6.322,6.054,6.109
2010-02-28,6.109,6.168,6.045,6.055
2010-03-31,6.055,6.123,5.51,5.51
2010-04-30,5.51,5.682,5.399,5.62
2010-05-31,5.62,5.932,5.606,5.803
2010-06-30,5.803,6.03,5.799,5.941
2010-07-31,5.941,5.98,5.763,5.883
2010-08-31,5.884,5.888,5.29,5.433
2010-09-30,5.433,5.644,5.432,5.503
2010-10-31,5.503,5.711,5.443,5.669
2010-11-30,5.669,6.219,5.631,6.055
2010-12-31,6.056,6.084,5.927,6.055
2011-01-31,6.055,6.43,6.055,6.344
2011-02-28,6.346,6.359,6.187,6.236
2011-03-31,6.239,6.351,6.229,6.273
2011-04-30,6.282,6.289,6.07,6.143
2011-05-31,6.146,6.146,6.006,6.061
2011-06-30,6.061,6.067,5.756,5.781
2011-07-31,5.778,5.938,5.741,5.794
2011-08-31,5.797,5.994,5.548,5.614
