Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-12-31,1000,1000,1000,1000,0
2020-01-31,1000.88,1003.78,1000.88,1003.45,0
2020-02-29,1003.34,1005.52,1003.34,1004.55,0
2020-03-31,1002.84,1004.88,993.05,994.57,0
2020-04-30,993.18,998.47,991.65,997.69,0
2020-05-31,997.94,1005.54,997.94,1005.54,0
2020-06-30,1006.22,1007.42,1005.12,1007.42,0
2020-07-31,1008.53,1013.1,1008.53,1013.1,0
2020-08-31,1013.09,1014.29,1013.09,1013.55,0
2020-09-30,1013.67,1014.32,1013.13,1013.77,0
2020-10-31,1013.95,1017.06,1013.95,1017.06,0
2020-11-30,1017.17,1020.95,1016.88,1019.88,0
2020-12-31,1020.15,1022.07,1019.8,1021.63,0
2021-01-31,1020.97,1024.17,1020.3,1023.99,0
2021-02-28,1024.18,1025.8,1024.18,1025.33,0
2021-03-31,1025.34,1027.17,1025.27,1026.96,0
2021-04-30,1027.89,1028.4,1027.89,1028.35,0
2021-05-31,1028.34,1028.34,1021.21,1022.85,0
2021-06-30,1022.52,1022.52,1021.45,1022.33,0
2021-07-31,1022.44,1022.94,1022.31,1022.74,0
2021-08-31,1022.89,1026.61,1022.89,1024.35,0
2021-09-30,1024.27,1024.27,1023.23,1023.95,0
2021-10-31,1024.88,1024.88,1017.27,1017.51,0
2021-11-30,1017.46,1017.47,1011.4,1012.35,0
2021-12-31,1011.26,1014.27,1010.16,1013.41,0
2022-01-31,1013.58,1017.72,1013.33,1017.72,0
2022-02-28,1018.13,1021.34,1012.27,1012.27,0
2022-03-31,1013.42,1013.42,1000.71,1004.35,0
2022-04-30,1004.11,1004.11,996.41,1001.63,0
2022-05-31,1001.4,1014.85,1001.4,1013.17,0
2022-06-30,1013.47,1015.35,1003.59,1006.83,0
2022-07-31,1009.15,1017.19,1007.8,1015.52,0
2022-08-31,1015.98,1022.33,1015.98,1021.84,0
2022-09-30,1023.08,1025.83,1023.08,1024.39,0
2022-10-31,1024.45,1024.45,1006.93,1008.88,0
2022-11-30,1008.19,1027.61,1008.19,1026.59,0
2022-12-31,1027.88,1052.96,1027.88,1050.77,0
2023-01-31,1053.31,1066.83,1053.31,1065.2,0
2023-02-28,1065.93,1071.01,1062.8,1071.01,0
2023-03-31,1071.92,1082.88,1071.92,1082.88,0
2023-04-30,1083.07,1091.57,1082.87,1091.57,0
2023-05-31,1091.85,1100.79,1091.85,1100.02,50979
2023-06-30,1100.64,1105.25,1100.35,1105.25,30866
2023-07-31,1105.47,1115.19,1105.47,1115.19,44234
2023-08-31,1115.4,1120.72,1115.4,1118.13,31576
2023-09-30,1118.33,1124.72,1117.69,1124.65,33794
2023-10-31,1124.94,1133.57,1124.9,1133.5,48979
2023-11-30,1134.28,1146.74,1134.28,1146.74,28460
2023-12-31,1146.76,1153.64,1146.76,1153.13,45744
2024-01-31,1152.89,1165.37,1152.89,1165.37,75369
2024-02-29,1165.91,1177.27,1165.91,1177.27,83813
2024-03-31,1177.34,1183.7,1177.34,1183.7,14955
2024-04-30,1183.88,1189.27,1183.87,1189.16,23914
2024-05-31,1189.45,1193.41,1189.42,1193.41,101365
2024-06-30,1193.76,1198.03,1193.76,1197.96,77465
2024-07-31,1198.25,1207.06,1198.25,1207.06,82146
2024-08-31,1207.65,1213.8,1207.53,1211.64,36199
2024-09-30,1212.17,1216.45,1212.17,1216.45,19913
2024-10-31,1216.67,1220.27,1216.57,1220.17,15496
