Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-12-31,127.22,131.1,126.2,128,4709
2024-01-31,128,129.66,127.82,129.16,18370
2024-02-29,129.26,130.48,129.16,130.32,17651
2024-03-31,130.4,131.14,130.26,130.96,25629
2024-04-30,130.96,131.64,130.72,131.44,24771
2024-05-31,131.44,131.9,129.72,131.78,26781
2024-06-30,131.78,132.5,131.6,132.24,28238
2024-07-31,132.28,133.26,132.18,133.18,22023
2024-08-31,133.28,134,133.04,133.66,23663
2024-09-30,133.84,134.24,133.6,133.88,36685
2024-10-31,133.9,134.66,133.86,134.46,19094
