Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-01-31,192.42,193.96,191.5,191.66,20849
2022-02-28,191.72,193.44,190.4,190.4,12197
2022-03-31,190.66,191.26,179.2,182,19710
2022-04-30,182.16,182.16,173.84,175.02,27626
2022-05-31,175.22,177.2,171.88,175.5,23457
2022-06-30,175.48,176.1,166.3,173.36,51551
2022-07-31,173.68,183.56,173,182.6,44194
2022-08-31,182.64,184.64,178,178.84,58851
2022-09-30,179.54,182.94,174.36,174.9,28130
2022-10-31,175.18,177.36,164.98,168.9,43908
2022-11-30,168.9,186,168,180.96,25699
2022-12-31,181.04,183.06,180,181.76,21851
2023-01-31,181.78,189.36,181.76,188,38657
2023-02-28,187.56,191,184.4,186.18,24747
2023-03-31,186.02,191,185,189.76,24169
2023-04-30,189.78,191.62,187.6,191,20374
2023-05-31,191.46,192.8,189.6,191,23812
2023-06-30,191.16,193.52,190.46,193.5,22335
2023-07-31,193.2,197.64,192.76,196.8,33523
2023-08-31,196.92,197.7,195.18,197.5,19281
2023-09-30,197.3,199.56,196.5,198,25192
2023-10-31,198.04,199.4,195.2,199.4,27592
2023-11-30,199.14,200.5,198.04,199.8,11753
2023-12-31,199.8,204.55,199.66,203,21820
2024-01-31,203,204.8,201.7,203.75,22824
2024-02-29,204,204.7,202.15,203.6,17222
2024-03-31,203.6,204.4,201.85,203.2,31840
2024-04-30,203.85,203.9,200.65,202.1,16293
2024-05-31,202.1,203.5,201.8,203.05,12357
2024-06-30,202.85,204.8,202.85,204.3,17597
2024-07-31,204.55,207.65,203.2,207.3,24698
2024-08-31,207.8,210.6,207.5,208.7,49480
2024-09-30,209,211.4,208.1,211,26582
2024-10-31,211.2,211.2,208.25,209.05,11067
