Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1999-02-28,100,100.01,100,100.01
1999-03-31,100.07,101.56,100.07,101.39
1999-04-30,101.38,102.17,101.38,101.94
1999-05-31,102.06,102.22,101.81,101.93
1999-06-30,102.09,102.87,102.04,102.59
1999-07-31,102.59,102.71,101.76,101.76
1999-08-31,101.53,102.79,101.36,102.79
1999-09-30,102.83,102.96,101.55,101.55
1999-10-31,101.53,102.65,101.53,101.84
1999-11-30,101.87,103.75,101.45,103.67
1999-12-31,103.65,105.11,103.43,105.11
2000-01-31,104.96,105.18,104.25,104.25
2000-02-29,103.78,104.52,103.33,103.33
2000-03-31,103.21,106.09,103.21,105.63
2000-04-30,105.24,106.12,105.01,105.28
2000-05-31,104.91,105.04,102.35,102.87
2000-06-30,103.39,103.61,102.96,103.45
2000-07-31,104.25,105.23,104.25,105.08
2000-08-31,105.1,105.46,104.26,105.46
2000-09-30,105.56,106.37,104.74,104.74
2000-10-31,104.96,105.08,102.95,105.08
2000-11-30,105.13,108.35,105.13,108.35
2000-12-31,108.41,115.13,108.41,115.13
2001-01-31,115.98,117.84,115.98,117.79
2001-02-28,118.26,119.5,118.09,119.44
2001-03-31,119.11,119.18,117.65,119.18
2001-04-30,119.3,120.28,118.96,119.61
2001-05-31,119.65,119.99,117.97,118.6
2001-06-30,118.65,119.72,118.35,119.53
2001-07-31,119.35,120.09,118.11,120.09
2001-08-31,120.21,122.02,120.21,122.02
2001-09-30,122.13,124.65,122.13,123.92
2001-10-31,124.93,130.39,124.93,130.37
2001-11-30,130.47,133.76,130.47,133.49
2001-12-31,133.79,135.06,133.78,135.06
2002-01-31,135.09,137.18,135.09,137.07
2002-02-28,136.97,137.16,136.38,137.16
2002-03-31,137.19,138.34,137.19,138.34
2002-04-30,138.48,139.69,138.22,139.57
2002-05-31,139.79,141.51,139.79,141.51
2002-06-30,141.61,144.56,141.61,144.56
2002-07-31,144.74,145.42,143.67,145.42
2002-08-31,145.47,147.78,145.47,147.78
2002-09-30,147.82,150.33,147.82,150.33
2002-10-31,150.52,153.2,150.37,153.2
2002-11-30,153.64,155.48,153.64,154.65
2002-12-31,154.79,156.61,154.62,156.61
2003-01-31,156.73,157.04,156.54,156.82
2003-02-28,156.79,158.18,156.46,158.18
2003-03-31,158.14,158.98,157.88,158.98
2003-04-30,159.18,160.53,159.18,160.53
2003-05-31,160.71,161.96,160.71,161.92
2003-06-30,162.06,162.22,161.98,162.02
2003-07-31,162.08,162.3,161.23,161.32
2003-08-31,161.41,162.23,161.19,161.77
2003-09-30,161.92,162.03,161.28,161.28
2003-10-31,161.32,161.71,158.81,158.81
2003-11-30,158.05,159.58,157.59,157.59
2003-12-31,156.92,160.58,156.92,160.58
2004-01-31,160.31,161.66,160.14,160.74
2004-02-29,160.67,161.58,160.45,161.28
2004-03-31,161.41,162.05,161.06,161.96
2004-04-30,162.01,162.02,160.95,160.95
2004-05-31,161.09,161.2,160.59,161.2
2004-06-30,161.12,162.06,161.09,161.77
2004-07-31,161.82,161.89,161.35,161.66
2004-08-31,161.73,162.5,161.66,162.19
2004-09-30,162.22,163.07,162.12,163.07
2004-10-31,163.28,163.59,162.98,163.47
2004-11-30,163.58,165.44,163.58,164.84
2004-12-31,164.91,167.54,164.91,167.54
2005-01-31,167.73,167.79,166.88,167.66
2005-02-28,167.89,171.03,167.88,171.03
2005-03-31,170.6,171.33,170.4,171.33
2005-04-30,171.33,172.17,171.33,171.68
2005-05-31,171.77,173.64,171.77,173.64
2005-06-30,174.02,175.96,174.01,175.95
2005-07-31,176.19,176.47,175.41,175.44
2005-08-31,175.16,177.03,175.16,177.03
2005-09-30,177.28,178.41,177.27,177.4
2005-10-31,177.1,177.64,175.69,175.75
2005-11-30,175.98,177.11,174.44,176.19
2005-12-31,176.28,178.27,176.28,178.01
2006-01-31,178,179.4,178,178.93
2006-02-28,179.26,181.19,179.26,181.19
2006-03-31,181.33,181.43,180.55,180.56
2006-04-30,180.73,181.32,180.44,180.57
2006-05-31,180.66,180.9,180.24,180.61
2006-06-30,180.61,180.88,177.94,179.02
2006-07-31,179.43,180.7,178.5,180.16
2006-08-31,180.02,180.79,180.02,180.79
2006-09-30,180.64,181.52,180.59,181.47
2006-10-31,181.32,182.57,181.32,182.57
2006-11-30,182.71,183.47,182.71,183.41
2006-12-31,183.49,184.23,183.49,184.23
2007-01-31,184.24,184.81,184.24,184.81
2007-02-28,184.84,185.02,184.79,185.01
2007-03-31,184.99,185.46,184.99,185.46
2007-04-30,185.31,185.73,185.25,185.73
2007-05-31,185.75,186.4,185.73,186.23
2007-06-30,186.21,186.21,185.36,185.52
2007-07-31,185.54,186.19,185.4,186.11
2007-08-31,186.02,186.42,185.84,186.16
2007-09-30,186.19,187.1,186.19,187.01
2007-10-31,187.13,187.55,186.82,187.3
2007-11-30,187.29,187.29,185.81,185.98
2007-12-31,185.77,186.49,185.52,186.27
2008-01-31,186,188.78,186,188.78
2008-02-29,188.79,188.99,187.57,187.57
2008-03-31,187.73,188.4,186.63,188.36
2008-04-30,188.49,189.4,187.94,189.4
2008-05-31,189.23,189.3,187.71,187.85
2008-06-30,188.09,188.09,185.52,185.52
2008-07-31,185.85,189.66,184.68,189.66
2008-08-31,189.93,192.92,189.7,192.2
2008-09-30,192.84,194.94,192.27,194.87
2008-10-31,194.77,195.3,186.52,190.29
2008-11-30,190.82,196.85,190.82,196.85
2008-12-31,196.6,201.72,196.39,201.14
2009-01-31,202.53,205.4,202.53,203.23
2009-02-28,203.24,203.24,197.05,198.51
2009-03-31,197.98,200.31,197.37,199.11
2009-04-30,199.54,201.39,199.18,201.39
2009-05-31,200.92,201.27,199.84,201.27
2009-06-30,201.56,202.54,201.35,202.54
2009-07-31,202.93,205.8,202.93,205.8
2009-08-31,206.27,206.54,205.2,205.82
2009-09-30,205.73,205.89,204.22,205.74
2009-10-31,205.5,207.48,205.25,207.23
2009-11-30,207.37,207.85,207.08,207.64
2009-12-31,207.62,208.2,207.3,207.85
2010-01-31,207.93,210.55,207.77,210.55
2010-02-28,211.09,212.07,210.51,212.07
2010-03-31,212.42,216.46,212.11,216.46
2010-04-30,216.55,217.15,215.8,216.88
2010-05-31,215.93,216.82,214.97,216.2
2010-06-30,215.9,216.61,214.99,215.71
2010-07-31,215.84,217.45,215.84,217.07
2010-08-31,217.04,220.97,216.86,219.82
2010-09-30,219.76,220.97,219,220.97
2010-10-31,221.11,221.4,220.11,220.45
2010-11-30,220.33,220.6,218.04,218.77
2010-12-31,219,220.36,218.9,220.36
2011-01-31,219.54,219.54,217.86,218.07
2011-02-28,218.46,219.26,218.25,219.26
2011-03-31,219.37,219.91,218.42,219.91
2011-04-30,219.87,221.55,219.87,221.55
2011-05-31,221.38,223,221.38,223
2011-06-30,223.21,225.8,223.21,225.8
2011-07-31,225.9,226.86,225.16,226.86
2011-08-31,226.88,229.48,226.33,229.48
2011-09-30,229.41,230.7,226.74,228.04
2011-10-31,227.89,231.43,227.88,231.16
2011-11-30,231.07,231.67,228.41,229.97
2011-12-31,230.1,231.34,230.08,231.16
2012-01-31,231.47,234.72,231.08,234.72
2012-02-29,234.89,236.15,234.71,236.15
2012-03-31,236.49,237.85,236.15,236.88
2012-04-30,237.04,239.08,236.14,238.96
2012-05-31,239.72,240.22,238.18,238.82
2012-06-30,238.98,242.36,238.98,242.36
2012-07-31,242.48,246.07,242.4,246.07
2012-08-31,246.23,247.26,245.65,247.26
2012-09-30,247.57,249.03,246.96,249.03
2012-10-31,248.97,251.73,248.97,251.51
2012-11-30,252.61,257.94,252.61,257.94
2012-12-31,257.56,261.75,257.56,261.72
2013-01-31,261.02,261.2,258.3,260.59
2013-02-28,260.79,260.79,258.41,259.43
2013-03-31,259.37,261.75,258.92,261.33
2013-04-30,261.69,268.13,261.69,268.13
2013-05-31,268.8,269.94,265.84,265.84
2013-06-30,265.97,266.42,256.17,258.57
2013-07-31,258.87,264.61,258.87,262.07
2013-08-31,261.8,261.93,258.12,258.52
2013-09-30,258.33,261.55,255.25,260.18
2013-10-31,260.51,265.06,260.51,264.36
2013-11-30,263.76,263.97,261.43,261.54
2013-12-31,261.12,264.2,260.9,263.82
2014-01-31,263.19,264.73,260.09,260.09
2014-02-28,260.75,264.07,260.75,264.07
2014-03-31,263.54,265.9,263.54,265.9
2014-04-30,266.02,267.81,265.86,267.81
2014-05-31,267.79,271.29,267.79,271.12
2014-06-30,271.25,273.75,271.18,273.71
2014-07-31,273.67,275.4,273.4,274.1
2014-08-31,273.74,277.08,273.14,276.73
2014-09-30,276.88,278.87,276.7,277.53
2014-10-31,278.02,282.57,277.62,282.57
2014-11-30,282.27,284.4,280.9,284.4
2014-12-31,283.7,283.7,279.75,282.83
2015-01-31,283.26,288.91,283.26,288.85
2015-02-28,288.34,288.34,284.7,286.01
2015-03-31,286.22,286.22,283.17,285.44
2015-04-30,285.42,286.06,281.82,281.82
2015-05-31,281.77,281.77,279.33,280.35
2015-06-30,279.99,279.99,275.73,276.95
2015-07-31,277.32,281.75,277.32,280.61
2015-08-31,280.74,282.22,279.32,280.16
2015-09-30,279.34,281.41,279.02,280.91
2015-10-31,281.57,285.14,281.57,284.57
2015-11-30,284.86,285.23,281.77,284.72
2015-12-31,284.75,284.75,278.65,282.67
2016-01-31,282.35,284.86,281.72,283.82
2016-02-29,283.72,286.51,283.72,286.32
2016-03-31,286.51,288.79,286.22,288.79
2016-04-30,289.12,289.12,287.82,288.43
2016-05-31,288.28,290,287.47,287.92
2016-06-30,287.62,291.41,286.16,291.41
2016-07-31,291.97,292.57,291.13,291.2
2016-08-31,292.27,294.95,292.22,293.83
2016-09-30,293.31,294.29,292.23,292.51
2016-10-31,292.93,293.15,290.82,291.55
2016-11-30,291.43,291.69,285.86,286.48
2016-12-31,285.43,288.94,284.98,287.3
2017-01-31,286.74,287.78,285.71,286.44
2017-02-28,286.28,289.59,286.28,289.59
2017-03-31,289.19,293.4,289.19,293.4
2017-04-30,293.86,295.11,293.28,294.82
2017-05-31,294.73,297.35,294.25,297.35
2017-06-30,297.36,298.99,297.36,297.67
2017-07-31,298.36,298.97,297.12,297.87
2017-08-31,297.73,299.89,297.14,299.86
2017-09-30,299.88,301.81,299.2,299.36
2017-10-31,299.34,299.75,297.31,298.1
2017-11-30,297.61,299.95,297.59,299.44
2017-12-31,299.52,301.04,299.52,300.66
2018-01-31,300.96,302.01,300.56,300.73
2018-02-28,300.64,302.89,300.51,302.89
2018-03-31,303.41,304.21,302.5,304.21
2018-04-30,304.18,305.83,304.18,305.22
2018-05-31,304.81,304.81,303.81,304.2
2018-06-30,304.58,305.87,304.2,305.52
2018-07-31,305.43,306.54,305.03,306.33
2018-08-31,306.52,306.91,306.18,306.18
2018-09-30,305.99,306.16,305.48,306.16
2018-10-31,306.34,307.3,306.01,307.2
2018-11-30,307.22,307.89,306.37,307.89
2018-12-31,308.17,310.96,307.86,310.96
2019-01-31,311.77,313.38,310.79,313.38
2019-02-28,313.04,313.78,311.26,311.26
2019-03-31,311.12,313.17,311.12,313.03
2019-04-30,312.76,313.22,311.32,311.32
2019-05-31,310.9,315.51,310.9,315.51
2019-06-30,315.86,319.14,315.86,318.44
2019-07-31,318.92,323.61,318.92,322.64
2019-08-31,322.78,328.33,322.78,327.14
2019-09-30,327.48,327.95,324.71,326.91
2019-10-31,327.01,328.76,327.01,327.88
2019-11-30,328.08,328.08,325.86,327.14
2019-12-31,326.66,327.47,326.66,326.72
2020-01-31,326.79,327.75,325.04,327.75
2020-02-29,327.73,332.85,326.9,332.85
2020-03-31,334.69,338.13,328.53,335.99
2020-04-30,335.58,340.45,335.07,340.39
2020-05-31,340.33,345.64,340.33,345.64
2020-06-30,345.01,345.48,344.25,345.48
2020-07-31,345.33,346.88,345.06,346.88
2020-08-31,346.65,347.01,346.28,346.48
2020-09-30,346.67,347.86,346.52,347.86
2020-10-31,348.4,350.54,348.23,350.26
2020-11-30,350.31,352.79,350.31,352.05
2020-12-31,352.15,352.78,351.02,352.47
2021-01-31,352.66,354.82,352.66,354.27
2021-02-28,354.47,354.49,351.89,351.89
2021-03-31,352.29,352.29,351.5,351.53
2021-04-30,351.25,352.7,350.91,350.91
2021-05-31,350.85,351.16,348.6,349.02
2021-06-30,348.35,350.73,348.35,350.73
2021-07-31,349.48,353.7,348.96,352.26
2021-08-31,352.17,352.24,350.44,350.59
2021-09-30,350.3,350.3,348.87,348.87
2021-10-31,348.66,348.66,341.36,341.36
2021-11-30,341.44,341.44,333.71,337.08
2021-12-31,334.5,336.45,328.2,328.2
2022-01-31,331.04,331.04,328.23,328.97
2022-02-28,329.22,332.42,327.69,327.69
2022-03-31,329.08,329.08,310.89,314.4
2022-04-30,313.81,313.81,302.98,302.98
2022-05-31,302.12,304.41,297.3,301.96
2022-06-30,302.39,302.39,285.98,299.14
2022-07-31,303.77,315.22,299.83,315.22
2022-08-31,316.81,318.08,307.28,309.18
2022-09-30,309.38,314.75,300.36,301.16
2022-10-31,302.38,303.64,284.9,289.05
2022-11-30,290.48,310.23,290.48,310.23
2022-12-31,312.54,315.23,309.86,312.93
2023-01-31,314.17,329.41,314.17,327.93
2023-02-28,328.7,332.15,321.24,323.58
2023-03-31,323.17,332.22,321.56,330.24
2023-04-30,330.51,333.17,329.19,333.17
2023-05-31,334.91,337.19,331.58,334.26
2023-06-30,335.2,338.85,334.45,338.85
2023-07-31,339.36,344.63,337.86,343.43
2023-08-31,342.93,343.63,340.26,342.48
2023-09-30,342.2,345.81,341.67,342.35
2023-10-31,342.57,344.48,339.13,344.48
2023-11-30,345.55,347.08,343.4,346.33
2023-12-31,347.61,356.88,347.61,354.78
2024-01-31,353.37,357.3,352.76,356.27
2024-02-29,356.95,356.95,352.55,354.2
2024-03-31,354.84,355.88,351.85,352.34
