Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-09-30,52.61,53.77,51.34,51.34,125203
2019-10-31,51.53,52.12,49.87,51.46,86353
2019-11-30,52.9,53.2,51.6,52.6,91833
2019-12-31,52.8,54.67,52.46,54.3,51821
2020-01-31,54.63,57.02,54.63,55.49,143298
2020-02-29,55.56,57.58,48.81,49.5,173266
2020-03-31,50.53,52.52,37,39.37,302702
2020-04-30,39.3,45.83,38.98,45.27,241107
2020-05-31,45.12,47.81,43.38,46.5,212211
2020-06-30,47.59,50.42,47,48.11,213549
2020-07-31,48.26,52.1,48.2,49.46,122417
2020-08-31,50.36,51.88,49.5,51.56,71446
2020-09-30,51.72,51.79,47.71,49.92,116862
2020-10-31,49.98,51.49,44.6,44.75,61762
2020-11-30,45.28,52.92,45.2,52.19,168876
2020-12-31,52.5,56.14,51.37,55.9,140629
2021-01-31,56.09,59.66,55.93,57.39,124858
2021-02-28,57.37,62.3,57.35,59.78,107408
2021-03-31,60.58,62.9,59.59,61.13,94861
2021-04-30,61.37,63.58,61.13,63.32,96521
2021-05-31,63.52,69.58,62.5,69.13,142826
2021-06-30,69.55,71.47,67.77,68.9,84924
2021-07-31,69,70.7,67.43,70.47,93856
2021-08-31,71,74.73,70.5,74.61,86298
2021-09-30,75,77,67.6,74.62,132669
2021-10-31,74.59,82.55,74,81.36,85064
2021-11-30,82.44,83.72,73.56,76.34,171464
2021-12-31,77.04,78.22,71.26,75.68,147290
2022-01-31,75.86,79.73,70.46,72.23,125175
2022-02-28,73.47,75.5,58.36,65.37,151753
2022-03-31,65.8,69.49,57.3,67.99,259976
2022-04-30,68.18,69.51,61.29,62.34,79648
2022-05-31,62.27,63.14,57.78,62.93,101004
2022-06-30,63,63,56.97,58.94,57721
2022-07-31,58.76,60.43,56.59,60.42,51006
2022-08-31,60.9,63,55.5,56.38,98353
2022-09-30,56.34,59.12,51.24,52.03,108996
2022-10-31,52.03,55.86,51.2,55.8,70924
2022-11-30,56.51,60.71,55.5,60.31,103087
2022-12-31,60.96,61.5,58.49,60.97,118915
2023-01-31,61.42,65.8,61,64.69,114394
2023-02-28,64.8,65.85,63,64.44,66925
2023-03-31,64.97,68.23,63.07,66,105390
2023-04-30,66.23,68.45,65.19,67.19,76870
2023-05-31,67.5,70.27,65.36,67.07,81583
2023-06-30,67.5,72,67.22,72,89016
2023-07-31,72.33,80.38,71.5,80.06,108216
2023-08-31,80.27,80.27,76.79,77.67,77349
2023-09-30,78.71,78.71,72.51,74.28,63374
2023-10-31,74.06,79.8,71.71,77.4,200147
2023-11-30,78.11,84.11,77.3,82.93,111422
2023-12-31,83.3,88.69,83.12,86.66,138674
2024-01-31,87.62,87.85,82.85,87.35,150397
2024-02-29,88.31,94.11,87.51,93.4,114902
2024-03-31,93.6,94.82,89.82,94.52,73474
2024-04-30,95.16,96.94,91.65,95.06,151954
2024-05-31,95.6,102,94.64,99.44,91540
2024-06-30,100.02,100.64,95.35,100.28,90187
2024-07-31,100.14,100.98,93.84,96.64,86780
2024-08-31,96.59,97.85,88.35,97.85,117109
2024-09-30,97.7,99.68,91.89,96.22,131312
2024-10-31,96.33,97.2,92.5,96,47389
