Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-12-31,289.15,289.3,273.1,282,19073
2022-01-31,286.55,300.2,268,275.8,26711
2022-02-28,277.35,281.6,233,256.55,18158
2022-03-31,258.8,277,245.85,276.5,39126
2022-04-30,276.45,281.35,260,260,12757
2022-05-31,261.8,263.85,243,260,13171
2022-06-30,261.6,261.8,237,245.75,7228
2022-07-31,245.8,248.05,237,247.4,6624
2022-08-31,249.3,261,243,244.4,10655
2022-09-30,245,251,226.1,228.15,10872
2022-10-31,229.2,237.3,225.7,237.2,6524
2022-11-30,238.95,253.1,236.6,252.95,9146
2022-12-31,255.45,260,247,250.6,9425
2023-01-31,250.5,279.1,250.5,277.65,16200
2023-02-28,277.55,282,272.25,280.65,8079
2023-03-31,282.65,293.65,275,293.05,14088
2023-04-30,292.5,307.45,292,304.1,12231
2023-05-31,304.4,314.9,298.9,306.2,9527
2023-06-30,307.2,319.4,305.3,319.1,13293
2023-07-31,319.7,327.85,315.45,322.75,8884
2023-08-31,322.95,323.8,306.15,310.7,10626
2023-09-30,312.6,316.3,300.85,305,10273
2023-10-31,305,313.6,297.3,308.1,27622
2023-11-30,310.05,319.65,306.4,318.95,14538
2023-12-31,319.9,341.85,319.05,340.45,22442
2024-01-31,342.25,350,330,338.4,38901
2024-02-29,339.45,357.6,338,352.15,24705
2024-03-31,353.8,361,347.6,359.8,18205
2024-04-30,361,364.6,355.1,360.35,16768
2024-05-31,360.35,378,358.5,367,15557
2024-06-30,367.75,380.9,359.1,379.5,16385
2024-07-31,379.9,387.9,364.45,368.9,18322
2024-08-31,367.2,371,339.85,370.5,24650
2024-09-30,370.05,373.15,359.7,368,12417
2024-10-31,368.4,368.4,356.9,365.6,6879
