Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-01-31,38.36,40.27,38.36,39.6,264700
2019-02-28,39.6,40.28,38.59,38.79,117042
2019-03-31,39.07,39.76,38.15,38.44,79996
2019-04-30,38.92,40.17,38.67,38.81,50293
2019-05-31,38.8,38.85,35.94,37.36,91393
2019-06-30,37.33,39.19,37.09,38.83,40376
2019-07-31,39.2,39.62,38.38,38.61,82111
2019-08-31,38.55,38.73,35.07,36.5,130694
2019-09-30,36.65,37.95,35.8,37.18,118480
2019-10-31,37.3,38.22,35.65,37.51,103047
2019-11-30,37.5,39.07,36.9,36.9,175908
2019-12-31,37.15,37.15,34.85,36.71,134616
2020-01-31,36.9,37.63,35.05,35.17,116438
2020-02-29,35.08,36.62,29.75,32.5,177249
2020-03-31,31.35,32.34,21.22,25.74,879151
2020-04-30,25.47,28.7,25.04,28.06,482823
2020-05-31,27.54,30,26.55,29.4,266078
2020-06-30,29.67,31.5,29.3,29.9,299075
2020-07-31,30,32.09,29.61,30.25,124446
2020-08-31,30.31,32.03,30.15,30.65,127478
2020-09-30,30.77,30.79,28.21,29.19,128870
2020-10-31,29.27,29.8,25.55,26,127654
2020-11-30,26.17,31.95,26.16,31.16,295151
2020-12-31,31.58,34.64,31.48,33.76,249310
2021-01-31,34.15,35.74,32,33.13,264410
2021-02-28,33.4,34.34,32.14,32.44,196524
2021-03-31,32.69,34.5,31.77,32.93,371748
2021-04-30,33.06,35.3,33.03,34.61,273752
2021-05-31,34.64,38.21,33.92,37.92,395462
2021-06-30,37.98,38.99,37.14,37.7,255082
2021-07-31,37.85,38.96,37.15,38.48,301546
2021-08-31,38.75,40.72,38.29,40.49,156937
2021-09-30,40.75,41.24,38.83,39.87,312530
2021-10-31,39.47,42.82,39.43,41.3,122396
2021-11-30,41.5,42.35,36.6,37.87,260008
2021-12-31,38.31,39.1,36.98,39.09,206540
2022-01-31,39.265,41.83,37.12,38.07,378097
2022-02-28,38.5,39,30.65,34.445,556804
2022-03-31,35.1,37.55,32.04,36.74,435617
2022-04-30,36.98,37.56,31.835,32.2,228043
2022-05-31,31.765,32.43,28.43,31.71,588020
2022-06-30,31.695,31.87,28.52,29.295,395260
2022-07-31,29.185,30.1,27.65,30,326869
2022-08-31,30,31,26.655,26.99,455702
2022-09-30,26.705,27.535,24.255,24.5,626299
2022-10-31,24.495,27.195,23.74,27.145,498480
2022-11-30,27.645,31.55,27.21,30.72,710152
2022-12-31,31.135,31.89,30.32,31.675,289561
2023-01-31,31.835,34.6,31.6,33.615,404066
2023-02-28,33.515,33.94,31,32.615,229424
2023-03-31,32.735,33.3,28.77,31.05,453387
2023-04-30,31.305,34.455,30.9,33.955,358296
2023-05-31,34.125,35.75,33.21,33.35,284631
2023-06-30,33.665,37.57,33.6,36.375,322177
2023-07-31,36.5,39.08,34.3,39.02,262605
2023-08-31,39,39,35.5,36.63,311735
2023-09-30,36.505,37.145,33.92,34.765,187639
2023-10-31,34.625,39.3,33.445,38.92,581987
2023-11-30,39.335,41.04,38.6,40.09,353974
2023-12-31,40.105,43.07,40.105,42.38,526757
2024-01-31,42.41,42.555,39.2,41.48,369983
2024-02-29,41.26,45.4,41.055,43.935,496783
2024-03-31,44.495,44.495,41.75,44.35,386228
2024-04-30,44.55,46.28,43.33,45.535,284864
2024-05-31,45.77,48.17,45.345,46.215,230644
2024-06-30,46.63,47.8,44.2,47.53,165298
2024-07-31,47.75,47.82,44.16,44.94,264614
2024-08-31,45.02,45.555,40.995,45.105,404946
2024-09-30,45.105,46.18,42.3,44.245,134496
2024-10-31,44.245,44.585,42.97,44.22,91770
