Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2009-12-31,11090.93,11090.93,11090.93,11090.93,0
2010-01-31,11255.61,11752.48,11255.61,11525.89,0
2010-02-28,11501.34,11654.65,11119.77,11571.36,0
2010-03-31,11564.53,12442.64,11564.53,12442.64,0
2010-04-30,12493.38,12641.16,12291.52,12502.84,0
2010-05-31,12288.52,12288.52,11288.22,11724.93,0
2010-06-30,11647.97,11647.97,11024.82,11024.82,0
2010-07-31,11043.52,11866.59,11043.52,11808.05,0
2010-08-31,11952.16,12061.4,11793.26,11925.08,0
2010-09-30,11962.05,12289.39,11962.05,12236.6,0
2010-10-31,12214.67,12230.28,12018.63,12138.58,0
2010-11-30,12179.98,12374.15,11771.74,11862.64,0
2010-12-31,11920.6,12366.68,11920.6,12362.41,0
2011-01-31,12424.86,12854.87,12311.25,12675.95,0
2011-02-28,12764.89,13010.17,12758.57,12900.41,0
2011-03-31,12846.03,12961,12546.55,12882.21,0
2011-04-30,12944.19,13086.46,12816.61,13071.36,0
2011-05-31,13110.8,13110.8,12472.92,12973.49,0
2011-06-30,12905.69,12905.69,12064.58,12321.94,0
2011-07-31,12323.39,12323.39,11403.93,11404.49,0
2011-08-31,11401.83,11401.83,8886.48,9911.98,0
2011-09-30,9800.07,9800.07,8750.35,9088.39,0
2011-10-31,8958.4,9475.65,8821.13,9463.58,0
2011-11-30,9313.57,9514.54,8790.22,9012.06,0
2011-12-31,8990.27,8990.27,8486.29,8773.16,0
2012-01-31,8884.44,9726.58,8846.82,9726.58,0
2012-02-29,9810,10872.92,9810,10732.48,0
2012-03-31,10658.99,10885.48,10381.09,10602.57,0
2012-04-30,10608.38,10608.38,9982.04,10248.11,0
2012-05-31,10253.04,10253.04,9406.31,9630.85,0
2012-06-30,9539.92,9897.64,9318.34,9886.77,0
2012-07-31,9883.43,9930.69,9649.07,9760.17,0
2012-08-31,9706.4,9883.99,9664.39,9854.22,0
2012-09-30,9900.79,10367.57,9837.51,10367.57,0
2012-10-31,10417.73,10642.68,10298.22,10333.56,0
2012-11-30,10342.18,10491.71,10167.67,10491.71,0
2012-12-31,10513.86,10998.93,10513.86,10998.93,0
2013-01-31,11091.18,11843.7,11046.24,11843.7,0
2013-02-28,11838.64,11838.64,11529.8,11639.62,0
2013-03-31,11596.23,11828.34,11390.45,11520.11,0
2013-04-30,11583.46,11583.46,10810.7,11070.32,0
2013-05-31,11115.48,12172.94,11115.48,12172.94,0
2013-06-30,12077.53,12753.69,12077.53,12432.85,0
2013-07-31,12479.11,12753.96,12328.82,12714.05,0
2013-08-31,12816.14,13921.28,12816.14,13656.1,0
2013-09-30,13730.14,14267.21,12991.68,14232.7,0
2013-10-31,14257.83,16030.25,14257.83,15959.89,0
2013-11-30,16061.13,16140.21,15690.43,16059.45,0
2013-12-31,15934.05,15934.05,14969.75,15330.78,0
2014-01-31,15383.61,15480.62,14665.4,15385.3,0
2014-02-28,15462.3,15806.39,15120.94,15467.15,0
2014-03-31,14534.57,14886.39,13776.93,14617,0
2014-04-30,14714.91,14748.09,13890.48,14005.46,0
2014-05-31,13993.84,14061.79,13303.51,14061.79,0
2014-06-30,14069.7,14304.18,13743.1,13808.1,0
2014-07-31,13691.12,13691.12,12751.16,12751.16,0
2014-08-31,12724.79,12927.8,12239.76,12812.31,0
2014-09-30,12865.69,13841.1,12865.69,13756.61,0
2014-10-31,13632.37,13680.06,13241.87,13583.5,0
2014-11-30,13598.8,13632.12,13311.17,13391.95,0
2014-12-31,13253.05,13341.18,12924.23,13196.21,0
2015-01-31,13257.75,13633.47,13085.15,13633.47,0
2015-02-28,13628.32,14444.24,13586.06,14444.24,0
2015-03-31,14605.54,14813.28,14551.63,14651.59,0
2015-04-30,14658.22,15043.18,14658.22,15043.18,0
2015-05-31,15172.91,15391.63,14953.02,15052.83,0
2015-06-30,15049.01,15049.01,14164.09,14199.49,0
2015-07-31,14283,14673.82,14010.48,14673.82,0
2015-08-31,14793.63,15249.64,13950.3,14617.79,0
2015-09-30,14517.11,14694.54,14420.39,14504.39,0
2015-10-31,14494.8,15108.43,14481.46,15058.08,0
2015-11-30,15141.53,15145.58,14518.83,14799.16,0
2015-12-31,14779.96,14779.96,13668.73,14628.38,0
2016-01-31,14403.61,14403.61,13425.06,13786.59,0
2016-02-29,13785.4,14106.21,13650.64,14106.21,0
2016-03-31,14078.93,15064.74,14078.93,15064.74,0
2016-04-30,14988.16,15262.25,14911.37,15261.04,0
2016-05-31,15314.94,15448.54,15146.62,15222.93,0
2016-06-30,14860.91,15108.45,14336.14,14757.05,0
2016-07-31,14809.7,15399.52,14588.87,15399.52,0
2016-08-31,15375.03,16054.9,15375.03,16054.9,0
2016-09-30,15905.9,16241.4,15905.9,16241.4,0
2016-10-31,16303.67,16345.49,16037.94,16239.63,0
2016-11-30,15933.6,15960.46,15667.05,15822.3,0
2016-12-31,15803.22,16134,15796.67,16134,0
2017-01-31,16231.77,17293.78,16231.77,17293.78,0
2017-02-28,17289.93,17956.29,17205.01,17956.29,0
2017-03-31,18140.83,18692.75,18037.48,18535.81,0
2017-04-30,18576.39,18710.54,18300.37,18482.88,0
2017-05-31,18573.24,18573.24,18097.02,18430.98,0
2017-06-30,18412.55,18425.17,18144.52,18329.49,0
2017-07-31,18293.64,18293.64,17999.28,17999.28,0
2017-08-31,17968.14,18007.72,17756.18,17990.28,0
2017-09-30,18010.26,18010.26,17366.2,17500.42,0
2017-10-31,17479.87,17479.87,16271.57,16598.3,258668265
2017-11-30,16501.69,16501.69,15861.19,16401.25,261487032
2017-12-31,16424.77,16895.15,16340.08,16895.15,241784751
2018-01-31,16982.66,17495.64,16859.65,17326.77,136502343
2018-02-28,17327.94,17327.94,16452.21,16896.64,104221955
2018-03-31,16746.39,16924.44,16311.62,16413.46,135602509
2018-04-30,16368.5,16689.63,16134.45,16383.34,169643647
2018-05-31,16401.65,16424.45,15933.64,15936.05,217560615
2018-06-30,15856.78,15987.56,14867.85,15038.88,206634767
2018-07-31,15009.27,15591.92,14992.67,15591.92,198558614
2018-08-31,15564.21,15564.21,15017.69,15017.69,221821789
2018-09-30,15045.25,15045.25,13717.36,13767.16,398552972
2018-10-31,13808.77,13808.77,13043.64,13171.06,125770310
2018-11-30,13251.14,13328.88,12775.01,13134.3,216841566
2018-12-31,13188,13221.86,12616.08,12798.53,138762389
2019-01-31,12840.03,13448.68,12804.67,13416.25,96103367
2019-02-28,13453.54,14082.45,13441.81,14082.45,125363844
2019-03-31,14108.88,14664.01,14093.48,14404.29,91779309
2019-04-30,14426.87,14878.14,14426.87,14592.38,54011759
2019-05-31,14602.71,14602.71,13914.69,14130.91,84085565
2019-06-30,14201.77,14622.01,14066.01,14622.01,69585361
2019-07-31,14716.94,14933.4,14577.32,14892.68,42373216
2019-08-31,14923.86,14926.23,14323.7,14505.81,46412458
2019-09-30,14503.77,14613.11,14308.82,14350.25,76156688
2019-10-31,14435.54,14568.67,14142.07,14355.48,95275536
