Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-01-07,4060.03,4115.57,4060.03,4115.57,29453503
2019-01-08,4104.07,4110.94,4065.48,4104.52,26789886
2019-01-09,4114.54,4133.91,4099.26,4133.91,30379782
2019-01-10,4102.31,4122.39,4072.94,4122.39,22732382
2019-01-11,4145.71,4173.05,4102.34,4122.02,27211263
2019-01-14,4094.38,4114.85,4080.65,4108.89,21572221
2019-01-15,4134.5,4146.77,4102.22,4138.72,20069983
2019-01-16,4153.66,4173.34,4133.88,4173.34,21252985
2019-01-17,4158.39,4185.89,4152.93,4164.16,21895608
2019-01-18,4188.61,4201.44,4163.52,4197.51,25825938
2019-01-21,4188.65,4188.65,4148.14,4162.97,10396198
2019-01-22,4140.74,4177.68,4140.74,4164.62,19785079
2019-01-23,4162.04,4260.63,4157.8,4249.1,30598430
2019-01-24,4259.27,4270.74,4217.27,4247.85,26494755
2019-01-25,4266.28,4266.28,4222.08,4234.36,30212307
2019-01-28,4236.01,4236.01,4157.72,4184.71,27052126
2019-01-29,4178.21,4213.65,4163.42,4189.45,22353237
2019-01-30,4197.44,4197.44,4145.68,4162.06,22575189
2019-01-31,4199.27,4218.53,4173.59,4201.46,28047137
2019-02-01,4204.9,4224.99,4190.5,4224.99,13854901
2019-02-04,4221.08,4254,4203.24,4219.75,18123965
2019-02-05,4231.95,4255.39,4208.96,4253.03,17449872
2019-02-06,4255.69,4271.81,4244.6,4262.02,18795205
2019-02-07,4245.36,4246.17,4179.16,4185.98,14476784
2019-02-08,4174.42,4180.01,4155.56,4155.56,17529892
2019-02-11,4163.16,4196.43,4155.87,4155.87,16268143
2019-02-12,4182.78,4194.3,4160.46,4185.38,16068892
2019-02-13,4197.72,4198.76,4121.47,4141.94,17342535
2019-02-14,4146.9,4148.78,4091.09,4095.22,29705351
2019-02-15,4084.77,4140.85,4084.77,4127.49,16243183
2019-02-18,4133.83,4139.48,4098.95,4105.36,15050049
2019-02-19,4103.23,4121.52,4085.61,4099.61,15933724
2019-02-20,4123.57,4183.09,4121.93,4183.09,20213105
2019-02-21,4180.46,4191,4114.18,4130.41,24780202
2019-02-22,4139.99,4187.74,4139.99,4158.5,23728852
2019-02-25,4183.83,4192.87,4150.17,4186.61,17546290
2019-02-26,4169.46,4176.44,4158.77,4176.44,0
2019-02-27,4174.37,4176.77,4117.16,4119.73,15764645
2019-02-28,4121.32,4140.71,4116.95,4116.95,19132541
2019-03-01,4142.53,4145.86,4117.48,4118.49,20112068
2019-03-04,4141.54,4146.46,4098.38,4109.57,25995529
2019-03-05,4101.83,4128.44,4096.03,4097.69,15909279
2019-03-06,4106.06,4110.86,4091.43,4108,20220415
2019-03-07,4105.15,4119.69,4071.28,4075.03,16175290
2019-03-08,4053.11,4064.67,4039.14,4058.23,14503984
2019-03-11,4069.76,4079.85,4056.07,4060.44,17658030
2019-03-12,4093.57,4093.57,4061.05,4077.89,18228820
2019-03-13,4067,4087.37,4063.06,4086.17,27007570
2019-03-14,4088.99,4098.43,4078.56,4094.09,17674350
2019-03-15,4098.52,4167.6,4092.52,4141.7,0
2019-03-18,4151.14,4163.6,4138.84,4140.98,17179993
2019-03-19,4146.31,4174.7,4143.89,4152.59,18352200
2019-03-20,4147.94,4159.65,4138.24,4151.56,15974697
2019-03-21,4157.02,4164.24,4144.64,4164.24,17889316
2019-03-22,4162.42,4166.56,4093.76,4093.76,15736309
2019-03-25,4074.98,4096.22,4068.23,4082.63,13412020
2019-03-26,4084.7,4104.04,4083.95,4104.04,12798900
2019-03-27,4110.08,4113.95,4082.98,4086.83,16891636
2019-03-28,4087.23,4103.21,4080.63,4084.37,11713850
2019-03-29,4104.75,4107.74,4069.62,4081.4,26232506
2019-04-01,4109.45,4142.19,4109.45,4131.97,14670200
2019-04-02,4143.87,4206.21,4143.87,4185.63,16645463
2019-04-03,4218.34,4250.05,4215.36,4250.05,20779343
2019-04-04,4237.31,4260.41,4213.1,4216.44,20824124
2019-04-05,4241.8,4241.8,4150.22,4150.22,23736163
2019-04-08,4159.96,4168.06,4148.6,4165.13,14391487
2019-04-09,4172.48,4196.22,4165.1,4179.81,19736792
2019-04-10,4181.92,4222.1,4178.49,4222.1,22589323
2019-04-11,4227.52,4227.52,4185.56,4192.39,16255664
2019-04-12,4208.02,4208.15,4175.28,4177.82,14629625
2019-04-15,4175.96,4188.16,4151.58,4162.77,15284682
2019-04-16,4174.27,4187.47,4163,4187.47,21523122
2019-04-17,4189.11,4229.79,4185.35,4198.3,35382692
2019-04-18,4188.48,4188.48,4154.56,4175.43,20175383
2019-04-23,4179.97,4189.67,4168.3,4184.73,10835390
2019-04-24,4191.81,4194.93,4162.89,4187.74,21562740
2019-04-25,4182.3,4182.3,4145.59,4163.78,16941558
2019-04-26,4157.85,4187.6,4152.49,4187.6,13490856
2019-04-29,4190.25,4190.25,4159.38,4180.24,14692822
2019-04-30,4163.76,4166.55,4106.06,4123.35,22858542
2019-05-02,4120.74,4124.67,4096.02,4096.62,15301813
2019-05-06,4043.8,4068.05,4026.4,4045.49,16354805
2019-05-07,4049.8,4049.8,3945.97,3945.97,25055557
2019-05-08,3955.71,3973.93,3918.12,3924.82,22679250
2019-05-09,3915.77,3933.27,3849.88,3849.88,21730364
2019-05-10,3889.87,3902.95,3859.39,3871.97,22665036
2019-05-13,3877.59,3884.69,3805.75,3838.51,19985331
2019-05-14,3860.67,3870.09,3821.36,3822.56,25230002
2019-05-15,3851.89,3851.89,3810.69,3831.83,29226451
2019-05-16,3850.67,3873.72,3820.42,3865.83,21947998
2019-05-17,3856.54,3861.14,3828.01,3858.62,19175312
2019-05-20,3865.1,3865.1,3817.31,3843.01,19882122
2019-05-21,3850.23,3870.47,3841.75,3870.24,22502583
2019-05-22,3861.68,3930.65,3853.59,3911.64,20965698
2019-05-23,3900.49,3900.49,3838.5,3838.72,23235197
2019-05-24,3849.41,3875.13,3846.57,3865.43,18081221
2019-05-27,3871.01,3882,3847.73,3867.99,9077091
2019-05-28,3871.66,3911.29,3860.26,3873.67,44697001
2019-05-29,3856.57,3876.37,3834.95,3876.37,32752758
2019-05-30,3884.58,3949.17,3884.58,3938.09,30831212
2019-05-31,3908.15,3969.56,3893.1,3969.56,23223958
2019-06-03,3960.51,3984.63,3949.97,3966.72,15759707
2019-06-04,3965.5,3974.06,3946.34,3959.69,18733701
2019-06-05,3967.09,3970.77,3935.23,3941.11,27022940
2019-06-06,3943.94,4027.33,3941.65,4007.89,43220594
2019-06-07,4011.61,4050.6,4011.61,4042.75,23636701
2019-06-10,4062.75,4068.64,4029.45,4046.13,18082030
2019-06-11,4049.73,4078.42,4039.98,4069.34,29044984
2019-06-12,4052.77,4062.9,4013.92,4046.65,29303418
2019-06-13,4040.89,4091.55,4040.53,4077.5,26105922
2019-06-14,4075.39,4075.39,4049.28,4053.14,20505698
2019-06-17,4058.67,4062.29,4026.71,4037.13,20062371
2019-06-18,4036.36,4123.23,4030.44,4123.23,36181816
2019-06-19,4124.82,4124.82,4108.94,4113.58,22041318
2019-06-21,4124.86,4155.76,4085.95,4093.37,61717378
2019-06-24,4113.01,4136.59,4099.92,4133.72,19030821
2019-06-25,4123.47,4128.56,4073.93,4084.48,29021864
2019-06-26,4095.28,4109.06,4081.32,4109.06,37539552
2019-06-27,4119.07,4160.37,4119.07,4140.91,37401033
2019-06-28,4141.09,4144.04,4125.12,4132.41,19367679
2019-07-01,4195.52,4195.52,4130.92,4136.08,21199057
2019-07-02,4152.31,4156.24,4101.91,4156.24,22876390
2019-07-03,4145.92,4170.18,4141.94,4164.17,19650157
2019-07-04,4165.05,4184.44,4152.69,4183.57,13908735
2019-07-05,4186.73,4186.73,4145.94,4157.86,22830756
2019-07-08,4140.77,4167.74,4131.49,4152.64,22636798
2019-07-09,4148.48,4148.48,4109.2,4125.5,24567522
2019-07-10,4124.36,4174.02,4113.97,4125.75,33895638
2019-07-11,4146.63,4167.49,4121.76,4133.21,23025409
2019-07-12,4144.03,4145.02,4129.71,4130.38,21936314
2019-07-15,4142.32,4161.57,4134.79,4146.16,20051320
2019-07-16,4151,4155.5,4134.92,4141.36,30053394
2019-07-17,4129.06,4138.48,4107.06,4114.87,33032265
2019-07-18,4091.22,4146.43,4089.34,4141.16,28496534
2019-07-19,4178.58,4209.52,4178.58,4200.97,28618974
2019-07-22,4190.58,4211.69,4185.57,4198.26,18652552
2019-07-23,4204.84,4208.48,4180.71,4186.35,20204415
2019-07-24,4191.36,4191.58,4171.94,4185.54,22510591
2019-07-25,4203.35,4203.35,4141.2,4143.93,20967100
2019-07-26,4143.62,4150.37,4124.87,4135.81,18087768
2019-07-29,4134.41,4139.63,4094.06,4100.2,15794970
2019-07-30,4100.95,4113.6,4081.35,4081.35,23157688
2019-07-31,4082.88,4117.53,4082.88,4105.6,29655346
2019-08-01,4087.55,4111.27,4032.98,4039.63,27029469
2019-08-02,4014.15,4025.03,3995.88,3995.88,19929333
2019-08-05,3971.53,3977.31,3901.47,3901.47,25318260
2019-08-06,3918.81,3933.28,3887.21,3887.21,28115391
2019-08-07,3900.01,3918.31,3832.4,3854.76,28871726
2019-08-08,3899.42,3908.71,3881.24,3891.99,22715284
2019-08-09,3902.72,3902.72,3820.79,3835.62,26950992
2019-08-12,3854.46,3858.38,3794.83,3803.38,16353035
2019-08-13,3805.86,3908.87,3791.78,3889.48,26859051
2019-08-14,3878.32,3878.32,3777.18,3777.18,25515986
2019-08-16,3795.7,3808.01,3739.06,3751.24,27565519
2019-08-19,3796.16,3833.19,3786.81,3820.5,19005749
2019-08-20,3831.79,3843.65,3796.13,3834.82,23036456
2019-08-21,3834.02,3867.62,3823.94,3827.13,16864747
2019-08-22,3831.13,3865.02,3812.75,3831.08,22403019
2019-08-23,3852.62,3866.1,3787.95,3823.14,16625572
2019-08-26,3784.75,3832.47,3783.62,3815.29,14030010
2019-08-27,3822.86,3827.83,3776.65,3809.89,47792244
2019-08-28,3829.78,3829.78,3719.67,3729.89,21934128
2019-08-29,3734.99,3771.16,3723.51,3762.41,18065804
2019-08-30,3768.2,3883.66,3768.2,3882.27,26051393
2019-09-02,3891.51,3901.98,3875.7,3899.04,10916739
2019-09-03,3884.48,3884.48,3814.87,3831.19,18870993
2019-09-04,3860.65,3881.83,3823.13,3823.13,29898106
2019-09-05,3848.66,3856.85,3802,3830.7,24072521
2019-09-06,3841.53,3871.74,3835.17,3859.27,17296749
2019-09-09,3867.57,3953.47,3867.57,3953.47,24031978
