Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2004-12-31,1960.57,1960.57,1960.57,1960.57,2925638
2005-01-31,1966.69,1966.69,1832.12,1887.41,152533606
2005-02-28,1916.14,2118.49,1903.36,2092.33,207483415
2005-03-31,2088.8,2092.51,1932.68,1999.87,195792989
2005-04-30,1990.16,2019.06,1859.92,1863.7,126555832
2005-05-31,1866.07,1941.19,1841.28,1939.8,146003699
2005-06-30,1917.27,2090.33,1917.27,2077.56,170088599
2005-07-31,2100,2265,2095.05,2265,179113405
2005-08-31,2286.36,2345.44,2269.25,2345.44,148571055
2005-09-30,2396.47,2600.32,2382.12,2600.32,211269785
2005-10-31,2647.97,2647.97,2367.52,2415.06,201343544
2005-11-30,2494.05,2607.2,2494.05,2607.2,194509841
2005-12-31,2622.07,2786.51,2622.07,2740.96,224943265
2006-01-31,2782.22,3049.41,2782.22,2895.78,355931218
2006-02-28,2914.54,3051.49,2850.08,2928.4,225982839
2006-03-31,2969.28,3003.05,2816.14,2957.64,303391904
2006-04-30,3006.39,3375.36,2993.16,3303.41,294166080
2006-05-31,3296.4,3463.86,2916.88,2936.92,413170926
2006-06-30,2963.78,3144.9,2649.38,3144.9,395917132
2006-07-31,3151.43,3542.98,3140.06,3542.92,380786952
2006-08-31,3470.86,3470.86,3209.99,3287.97,324569291
2006-09-30,3298.52,3445.69,3235.57,3240.71,419279839
2006-10-31,3254.78,3564.38,3237.8,3449.47,488434857
2006-11-30,3433.59,3609.52,3433.59,3572.22,600178434
2006-12-31,3589.09,3808.02,3589.09,3647.8,488207281
2007-01-31,3716.93,3867.14,3495.9,3867.14,580341486
2007-02-28,3940.74,3940.74,3599.5,3599.5,579748302
2007-03-31,3568.1,3908.44,3523.94,3908.44,604296476
2007-04-30,3848.26,4051.77,3848.26,3990.11,418985215
2007-05-31,4013.73,4115.55,3894.71,4115.55,414558806
2007-06-30,4215.91,4340.04,4103.33,4298.06,389832656
2007-07-31,4287.93,4463.08,4231.92,4289.51,394927092
2007-08-31,4215.48,4221.68,3823.99,4135.97,597552256
2007-09-30,4149.59,4368.25,3953.04,4172.82,412937530
2007-10-31,4199.51,4499.23,4199.51,4453.01,600551118
2007-11-30,4378.28,4378.28,3960.17,4071.87,694346427
2007-12-31,4037.76,4267.31,3928.69,3968.88,818556026
2008-01-31,3928.92,3940.94,3213.9,3390.14,969110221
2008-02-29,3496.91,3590.78,3339.54,3362.36,586163279
2008-03-31,3315.82,3429.72,3148.56,3423.42,584767734
2008-04-30,3478.29,3503.14,3258.58,3358.31,502124048
2008-05-31,3423.23,3537.26,3387.32,3387.32,484691469
2008-06-30,3372.1,3406.22,3021.85,3021.85,521005458
2008-07-31,2983.82,3273.27,2846.83,3271,814147089
2008-08-31,3228.4,3244.29,2986.59,3086.25,458654574
2008-09-30,3071.12,3146.57,2707.66,2833.36,741656587
2008-10-31,2868.57,2868.57,1848.74,2169.8,1083741823
2008-11-30,2161.01,2261.95,1838.61,2070.25,945229218
2008-12-31,2027.65,2198.37,2020.43,2126.88,542303577
2009-01-31,2231.12,2282.21,1895.38,1895.38,1011081320
2009-02-28,1821.25,1882.57,1577.74,1631.02,845296048
2009-03-31,1640.25,1940.98,1640.25,1796.66,839133981
2009-04-30,1810.86,2137.31,1810.86,2137.31,1620409717
2009-05-31,2227.66,2237.76,2140.31,2143.72,1367029442
2009-06-30,2282.6,2433.12,2210.35,2240.08,971588883
2009-07-31,2265.1,2625.97,2153.58,2622.83,1306277543
2009-08-31,2648.57,2846.23,2491.71,2718.19,852729838
2009-09-30,2702.07,2802.25,2578.7,2705.35,1110807868
2009-10-31,2783.47,3007.41,2673.21,2836.02,1032796309
2009-11-30,2822.75,3028.89,2735.23,2933.26,964887629
2009-12-31,2965.32,3052.38,2885.35,2978.16,555718954
2010-01-31,3047.8,3103.74,2946,2970.57,709537991
2010-02-28,2946.31,2972.21,2709.52,2823.92,968445277
2010-03-31,2853.64,3124.68,2853.64,3111.41,1664622038
2010-04-30,3182.35,3247.5,3096.55,3176.14,600672337
2010-05-31,3057.92,3081.26,2835.41,3041.02,1216975552
2010-06-30,2987.01,3027.71,2872.75,2872.75,874146323
2010-07-31,2872.11,3159.14,2872.11,3133.46,599537859
2010-08-31,3219.43,3234.65,3040.41,3088.96,603763680
2010-09-30,3117.32,3327.81,3117.32,3327.81,676943373
2010-10-31,3322.82,3426.89,3320.09,3396,854279663
2010-11-30,3431.81,3547.14,3345.2,3345.2,918158589
2010-12-31,3416.69,3569.98,3416.69,3515.01,607419873
2011-01-31,3563.87,3579.58,3405.04,3464.65,465549660
2011-02-28,3494.25,3512.66,3383.92,3481.24,459075226
2011-03-31,3448.55,3622.92,3448.55,3608.24,622740831
2011-04-30,3685.45,3756.51,3679.77,3731.55,383685505
2011-05-31,3740.11,3740.11,3596.45,3737.45,576969934
2011-06-30,3734.87,3734.87,3610.3,3635.18,526795401
2011-07-31,3649.89,3701.14,3515.55,3582.99,400854062
2011-08-31,3551.34,3551.34,2883.5,3247.18,709208180
2011-09-30,3199.08,3199.08,2791.67,2938.09,628926597
2011-10-31,2881.48,3241.33,2805.34,3183.54,489543302
2011-11-30,3162.21,3218.14,2880.93,3071.45,466312654
2011-12-31,3040.52,3076.89,2827.36,2878.7,444141177
2012-01-31,2945.32,3128.48,2852.87,3128.48,604378053
2012-02-29,3170.65,3206.42,3081.92,3108.28,497402090
2012-03-31,3113.36,3144.59,3017.67,3067.26,757577132
2012-04-30,3086.63,3086.63,2912.23,3010.91,825821690
2012-05-31,2991.28,2991.28,2741.38,2823.34,670680548
2012-06-30,2789.92,3119.03,2747.07,3119.03,705644966
2012-07-31,3091,3141.88,2964.07,3083.37,544436250
2012-08-31,3087.54,3306.65,3062.61,3212.83,560165935
2012-09-30,3222.48,3439.08,3198.88,3373.79,689045484
2012-10-31,3414.15,3430.19,3286.77,3297.16,795618399
2012-11-30,3337.6,3496.35,3306.29,3496.35,702798282
2012-12-31,3503.68,3759.51,3503.68,3729.44,831677612
2013-01-31,3792.16,3794.96,3599.17,3599.17,751614020
2013-02-28,3611.32,3628.07,3488.59,3540.33,951594635
2013-03-31,3516.99,3619.89,3377.5,3422.02,732969853
2013-04-30,3422.48,3486.1,3265.92,3356.04,1518658846
2013-05-31,3361.68,3607.54,3336.87,3607.54,678431597
2013-06-30,3563.41,3644.01,3187.03,3287.49,873205654
2013-07-31,3269.44,3457.63,3251.71,3452.34,384772908
2013-08-31,3486.29,3661.47,3486.29,3570.5,388069755
2013-09-30,3604.17,3695.92,3269.13,3626.17,580968493
2013-10-31,3613.4,3920.77,3590.04,3834.56,561850114
2013-11-30,3851.25,3999.54,3765.51,3942.23,365013893
2013-12-31,3932.54,3932.54,3627.34,3662.04,393856113
2014-01-31,3691.11,3714.66,3497.24,3593.28,478146289
2014-02-28,3617.49,3854.1,3590.09,3841.34,434963570
2014-03-31,3722.59,3755.83,3547.73,3755.83,552558488
2014-04-30,3753.39,3777.98,3653.76,3733.48,401735476
2014-05-31,3728.61,3797.64,3638.44,3723.99,371966368
2014-06-30,3733.35,3833.5,3718.61,3732.84,363073014
2014-07-31,3734.78,3751.16,3610,3610,396457615
2014-08-31,3582.97,3860.6,3582.97,3768.65,401251021
2014-09-30,3784.86,4033.64,3784.86,3971.19,402070079
2014-10-31,3958.17,3958.17,3762.35,3913.05,483847745
2014-11-30,3900.88,3925.94,3795.98,3841.42,314823110
2014-12-31,3825.66,3902.84,3606.24,3680.89,538039105
2015-01-31,3674.94,3763.58,3552.07,3720.73,445962383
2015-02-28,3721.91,3763.63,3690.72,3762.21,405808694
2015-03-31,3756.5,3837.38,3660.96,3808.05,487644617
2015-04-30,3808.79,4052.43,3802.9,3996.69,452141549
2015-05-31,4011.11,4053.21,3894.73,3894.73,397610563
2015-06-30,3901.82,3901.82,3699.8,3742.78,404693721
2015-07-31,3747.11,3753.65,3509.78,3609.91,416210842
2015-08-31,3612.69,3660.33,3328.89,3506.52,502780796
2015-09-30,3441.38,3567.52,3350.19,3394.72,497609742
2015-10-31,3393.19,3524.02,3343.8,3384.3,528672744
2015-11-30,3398.35,3416.45,3163.44,3163.65,501605975
2015-12-31,3177.28,3177.28,2882.76,3054.29,634740656
2016-01-31,2984.54,2984.54,2743.64,2924.67,542009928
2016-02-29,2901.06,3084.14,2840.63,2996.67,532748810
