Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-01-13,4060.03,4173.05,4060.03,4122.02,136566816
2019-01-20,4094.38,4201.44,4080.65,4197.51,110616735
2019-01-27,4188.65,4270.74,4140.74,4234.36,117486769
2019-02-03,4236.01,4236.01,4145.68,4224.99,113882590
2019-02-10,4221.08,4271.81,4155.56,4155.56,86375718
2019-02-17,4163.16,4198.76,4084.77,4127.49,95628104
2019-02-24,4133.83,4191,4085.61,4158.5,99705932
2019-03-03,4183.83,4192.87,4116.95,4118.49,72555544
2019-03-10,4141.54,4146.46,4039.14,4058.23,92804497
2019-03-17,4069.76,4167.6,4056.07,4141.7,80568770
2019-03-24,4151.14,4174.7,4093.76,4093.76,85132515
2019-03-31,4074.98,4113.95,4068.23,4081.4,81048912
2019-04-07,4109.45,4260.41,4109.45,4150.22,96655293
2019-04-14,4159.96,4227.52,4148.6,4177.82,87602891
2019-04-21,4175.96,4229.79,4151.58,4175.43,92365879
2019-04-28,4179.97,4194.93,4145.59,4187.6,62830544
2019-05-05,4190.25,4190.25,4096.02,4096.62,52853177
2019-05-12,4043.8,4068.05,3849.88,3871.97,108485012
2019-05-19,3877.59,3884.69,3805.75,3858.62,115565094
2019-05-26,3865.1,3930.65,3817.31,3865.43,104666821
2019-06-02,3871.01,3969.56,3834.95,3969.56,140582020
2019-06-09,3960.51,4050.6,3935.23,4042.75,128373643
2019-06-16,4062.75,4091.55,4013.92,4053.14,123042052
2019-06-23,4058.67,4155.76,4026.71,4093.37,140002883
2019-06-30,4113.01,4160.37,4073.93,4132.41,142360949
2019-07-07,4195.52,4195.52,4101.91,4157.86,100465095
2019-07-14,4140.77,4174.02,4109.2,4130.38,126061681
2019-07-21,4142.32,4209.52,4089.34,4200.97,140252487
2019-07-28,4190.58,4211.69,4124.87,4135.81,100422426
2019-08-04,4134.41,4139.63,3995.88,3995.88,115566806
2019-08-11,3971.53,3977.31,3820.79,3835.62,131971653
2019-08-18,3854.46,3908.87,3739.06,3751.24,96293591
2019-08-25,3796.16,3867.62,3786.81,3823.14,97935543
2019-09-01,3784.75,3883.66,3719.67,3882.27,127873579
2019-09-08,3891.51,3901.98,3802,3859.27,101055108
2019-09-15,3867.57,4019.62,3867.57,4006.78,113051815
2019-09-22,3989.47,4037.79,3944.44,3953.88,143070901
2019-09-29,3951.07,3986.35,3897.43,3980.38,91309879
2019-10-06,3982.81,3982.81,3803.88,3861.77,96050091
2019-10-13,3871.08,3933.92,3844.17,3932.32,84109951
2019-10-20,3933.99,3972.03,3902.14,3941.13,95856930
2019-10-27,3935.04,4030.45,3935.04,3960.3,88529370
2019-11-03,3963.44,4072.27,3963.44,3994.58,87634297
2019-11-10,4043.34,4148.61,4033.65,4106.29,129336731
2019-11-17,4109.35,4124.94,4049.17,4066.99,96476070
2019-11-24,4082.05,4084.25,3942.89,3983.9,98573386
2019-12-01,3999.03,4012.05,3923.88,3930.55,121534701
2019-12-08,3940.9,3944,3745.34,3774.3,136175642
2019-12-15,3769.85,3863.74,3705.97,3835.1,116090123
2019-12-22,3834.89,3894.49,3832.96,3874.31,164252336
2019-12-29,3872.5,3943.58,3870.06,3917.45,27170607
2020-01-05,3921.55,4005.49,3911.26,3957.93,53038415
2020-01-12,3958.82,3962.18,3850.19,3946.89,76680468
2020-01-19,3954.44,3995.15,3917.2,3961.54,114740895
2020-01-26,3963.9,3975.5,3899.95,3922.08,102191421
2020-02-02,3884.26,3891.64,3739.07,3761.17,125545429
2020-02-09,3747.31,3890.74,3734.29,3841.83,121948296
2020-02-16,3838.3,3881.69,3802.56,3851.1,98873992
2020-02-23,3879.47,3879.47,3797.25,3802.38,86581469
2020-03-01,3747.89,3747.89,3168.84,3220.48,194454983
2020-03-08,3330.96,3467.71,3188.11,3213,167345130
2020-03-15,3068.22,3088.74,2377.22,2486.89,216764213
2020-03-22,2443.97,2817.8,2276.11,2709.81,385532275
2020-03-29,2645.49,2738.19,2558.77,2687.03,198776120
2020-04-05,2694.34,2771.65,2636.63,2742.69,222516445
2020-04-12,2824.1,3011.75,2814.87,2941.58,216625015
2020-04-19,2970.31,3042.57,2894.89,2959.54,182187570
2020-04-26,2972.75,2991.45,2830.82,2916.43,151656021
2020-05-03,2951.55,3064.5,2879.7,3005.15,153840043
2020-05-10,2971.53,2971.53,2845.21,2928.25,117962813
2020-05-17,2947.73,2979.5,2842.99,2866.38,116665013
2020-05-24,2915.28,3029.79,2905.29,2971.89,120090212
2020-05-31,2992.41,3213.14,2979.01,3139.98,266340064
2020-06-07,3171.27,3367.19,3141.16,3358.37,254891456
2020-06-14,3357.92,3382.69,3197.62,3260.61,300871857
2020-06-21,3221.45,3304.03,3166.76,3295.27,373800038
2020-06-28,3289.09,3365.47,3207.01,3207.01,188381625
2020-07-05,3195.49,3298.27,3171.71,3282.72,148570812
2020-07-12,3331.46,3340.68,3232.02,3275.98,104033249
2020-07-19,3310.2,3310.2,3223.72,3282.15,143810711
2020-07-26,3274.29,3442.29,3272.46,3308.26,177042932
2020-08-02,3315.28,3363.07,3222.17,3230.06,163669218
2020-08-09,3247.08,3365.55,3232.43,3320.87,106334516
2020-08-16,3332.05,3436.27,3315.75,3392.75,83109310
2020-08-23,3397.87,3406.78,3311.47,3327.04,72735814
2020-08-30,3354.17,3394.78,3318.94,3343.83,69371002
