Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1982-12-31,53.2,114.9,53.2,75
1983-12-31,67.3,67.3,18.2,18.2
1984-12-31,15.6,15.6,11.4,14.2
1985-12-31,13.2,16.7,10.3,16.7
1986-12-31,17.1,20.5,14.4,17.1
1987-12-31,18.1,31.3,17.9,31.3
1988-12-31,28.4,73.9,28.4,73.9
1989-12-31,83.2,639.6,70.3,639.6
1990-12-31,1007.6,1183.1,249.3,249.3
1991-12-31,94.9,94.9,60.4,60.4
1992-12-31,45.4,46.5,38.1,44.3
1993-12-31,37.5,39.7,29.8,37.6
1994-12-31,32.4,36.1,29.5,29.5
1995-12-31,32.3,33.6,21.6,21.6
1996-12-31,21,21,18.5,18.5
1997-12-31,17.8,17.8,13.1,13.2
1998-12-31,13.6,14.2,8.6,8.6
1999-12-31,6.9,9.8,5.6,9.8
2000-12-31,10.1,11.6,8.5,8.5
2001-12-31,7.4,7.4,3.6,3.6
2002-12-31,3.4,3.5,0.8,0.8
2003-12-31,0.5,1.7,0.3,1.7
2004-12-31,1.6,4.6,1.6,4.4
2005-12-31,3.7,3.7,0.7,0.7
2006-12-31,0.6,1.6,0.4,1.4
2007-12-31,1.6,4,1.5,4
2008-12-31,4,4.8,3.3,3.3
2009-12-31,2.8,4,2.8,3.5
2010-12-31,3.5,3.5,2,3.1
2011-12-31,3.6,5,3.6,4.6
2012-12-31,4.1,4.3,2.4,2.4
2013-12-31,1.7,1.7,0.2,0.7
2014-12-31,0.5,0.7,-1,-1
2015-12-31,-1.4,-0.5,-1.6,-0.5
2016-12-31,-0.9,0.8,-1.1,0.8
2017-12-31,1.7,2.5,1.5,2.1
2018-12-31,1.9,2,1.1,1.1
2019-12-31,0.9,3.4,0.9,3.4
2020-12-31,4.4,4.7,-3.4,2.4
2021-12-31,2.7,8.6,2.4,8.6
2022-12-31,9.4,17.9,8.5,16.6
2023-12-31,17.2,18.4,6.2,6.2
