Year,Return
1986,1.784499377754295
1987,-2.464568834625939
1988,16.719073740404404
1989,2.356466568723419
1990,-2.561562411548266
1991,19.23545311177288
1992,17.030781716931596
1993,22.311697494062805
1994,-6.951651391715018
1995,13.988979780028526
1996,6.054714853717882
1997,13.938296529403601
1998,8.087286305351995
1999,12.151001609161058
2000,8.459842640140119
2001,4.403076350251148
2002,1.3894696831138926
2003,-4.36563679663407
2004,2.3089259637645796
2005,7.263860621403164
2006,-5.146845216448219
2007,0.025267177001262613
2008,16.82040028861379
2009,-0.6653084156151139
2010,12.435815465171592
2011,10.069753105600512
2012,-0.16981514983294144
2013,-8.15010205845235
2014,13.396722287014443
2015,7.683411970626958
2016,4.735057156634841
2017,-5.774754038253923
2018,4.18259571094068
2019,7.689090321979878
2020,1.1976521819583024
2021,0.12607119808161407
2022,-13.308397114523235
2023,1.5699497833614202
