Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2010-07-31,0.25736,0.25736,0.16,0.19232
2010-08-31,0.1812,0.21776,0.17248,0.18875
2010-09-30,0.19496,0.1961,0.17886,0.18035
2010-10-31,0.17742,0.5408,0.17527,0.5408
2010-11-30,0.5576,0.8656,0.5398,0.6421
2010-12-31,0.693,0.9014,0.6102,0.8874
2011-01-31,0.8703,1.4912,0.8703,1.4912
2011-02-28,1.9739,3.127,1.9735,2.4675
2011-03-31,2.6505,2.7086,2.147,2.2272
2011-04-30,2.1897,7.6401,1.9249,7.6401
2011-05-31,8.4445,24.819,8.4445,24.03
2011-06-30,26.342,80.068,26.342,44.149
2011-07-31,41.837,41.837,35.205,37.558
2011-08-31,36.754,36.754,22.364,23.488
2011-09-30,23.844,25.502,14.994,16.886
2011-10-31,16.661,16.661,7.146,10.173
2011-11-30,10.174,10.37,6.7186,9.938
2011-12-31,10.205,14.631,9.524,14.631
2012-01-31,18.024,24.447,16.699,17.758
2012-02-29,19.295,19.433,13.46,14.989
2012-03-31,15.171,17.185,14.3,15.086
2012-04-30,15.44,16.956,15.341,15.614
2012-05-31,15.697,18.386,15.697,18.386
2012-06-30,18.778,22.822,18.532,22.175
2012-07-31,22.603,31.26,21.467,31.26
2012-08-31,31.847,44.205,31.847,33.678
2012-09-30,34.979,39.816,34.652,39.574
2012-10-31,39.475,40.753,32.493,35.705
2012-11-30,33.636,39.668,33.53,39.634
2012-12-31,40.128,43.001,40.128,41.793
2013-01-31,41.001,63.018,41.001,63.018
2013-02-28,62.455,105.8,62.455,105.8
2013-03-31,109.32,290.72,109.32,280.65
2013-04-30,385.01,722.61,213.14,437.59
2013-05-31,428.26,438.78,249.72,422.34
2013-06-30,391.27,403.66,312.8,322.82
2013-07-31,319.06,354.74,235.45,340.52
2013-08-31,338.13,461.38,316.18,444.27
2013-09-30,464.86,479.72,402.42,440.76
2013-10-31,440.84,706.08,340.05,650.02
2013-11-30,656.08,3826.55,645.19,3581.59
2013-12-31,3151.37,3826.35,1271.62,2274.3
2014-01-31,2330.78,3119.1,2317.13,2590.69
2014-02-28,2599.1,2628.74,1255.83,1688.56
2014-03-31,1681.16,2156.17,1340.31,1369.27
2014-04-30,1375.09,1642.53,1033.01,1349.92
2014-05-31,1378.03,1861.13,1264.55,1845.88
2014-06-30,1947.17,2054.77,1694.53,1931.38
2014-07-31,1930.62,1991.29,1734.79,1821.17
2014-08-31,1821.12,1888.03,1361.39,1628.27
2014-09-30,1541.02,1597.15,1216.64,1276.1
2014-10-31,1275.32,1356.29,1006.87,1147.53
2014-11-30,1095.3,1552.44,1082.37,1272.08
2014-12-31,1266.19,1288.29,1041.65,1122.17
2015-01-31,1113.56,1157.21,615.43,850.35
2015-02-28,841.98,952.84,781.82,942.53
2015-03-31,958.1,1160.57,880.45,929.497
2015-04-30,929.16,966.22,804.41,852.92
2015-05-31,851.22,911.1,815.94,888.01
2015-06-30,864.1,1008.34,823.31,989.475
2015-07-31,989.14,1165.54,952.23,1075.97
2015-08-31,1061.94,1099.1,727.56,867.39
2015-09-30,867.47,932.61,839.05,899.413
2015-10-31,899.35,1298.2,893.09,1235.36
2015-11-30,1250.15,1912.38,1177.18,1527.28
2015-12-31,1527.47,1843.7,1403.37,1689.93
2016-01-31,1687.99,1853.75,1483.35,1530.94
2016-02-29,1531.53,1766.52,1454.85,1747.72
2016-03-31,1746.69,1753.34,1526.02,1551.26
2016-04-30,1551.29,1836.83,1538.3,1741.15
2016-05-31,1728.89,2153.49,1676.57,2077.85
2016-06-30,2078.35,3051.53,2074.2,2629.9
2016-07-31,2630.81,2732.69,2446.98,2561.24
2016-08-31,2460.65,2469.72,1874.89,2237.93
2016-09-30,2237.67,2408.89,2217.05,2315.74
2016-10-31,2331.59,2797.76,2330.65,2744.29
2016-11-30,2745.28,3158.46,2618.44,3119.08
2016-12-31,3119.18,4154.12,3117.92,4020.24
2017-01-31,4234.93,4775.28,3069.66,3869.9
2017-02-28,3870.08,4932.95,3806.95,4857.17
2017-03-31,4856.71,5410.58,3733.55,4270.46
2017-04-30,4371.49,5220.48,4353.34,5023.57
2017-05-31,5503.62,10381,5406.85,8581.77
2017-06-30,8573.97,11363,8300.61,9433.3
2017-07-31,9384.45,10680,7021.41,10327
2017-08-31,10315,17201,9611.67,16984
2017-09-30,16988,17544,10546,15204
2017-10-31,15856,23398,15152,23235
2017-11-30,23237,40366,20371,34654
2017-12-31,34679,69788,33247,50005
2018-01-31,46919,57112,31366,33725
2018-02-28,33690,39582,19947,35714
2018-03-31,35672,39624,22551,23316
2018-04-30,23332,33552,22364,32345
2018-05-31,32332,34898,26107,27868
2018-06-30,27860,28555,21706,22033
2018-07-31,23831,31240,22546,28210
2018-08-31,28206,28419,22241,26102
2018-09-30,27012,27604,22475,24609
2018-10-31,24215,25795,22821,24270
2018-11-30,24270,24725,13514,15068
2018-12-31,15656,16128,12116,13949
2019-01-31,14093,15557,12657,12849
2019-02-28,12847,15413,12699,14496
2019-03-31,14497,15828,14045,15740
2019-04-30,15769,21530,15639,20524
2019-05-31,20525,35012,20510,32316
2019-06-30,33402,51781,28270,45980
2019-07-31,42096,50123,34514,38945
2019-08-31,38928,47396,37040,38127
2019-09-30,38672,43008,31011,33173
2019-10-31,33145,38326,28197,34908
2019-11-30,34941,36594,25562,30382
2019-12-31,28974,29874,24814,27294
2020-01-31,27287,37217,26086,36074
2020-02-29,36388,41118,33246,33805
2020-03-31,33527,35297,15562,26694
2020-04-30,26700,39620,25944,36367
2020-05-31,36373,42254,34840,37661
2020-06-30,37767,40961,35344,36287
2020-07-31,36285,42860,35534,42422
2020-08-31,41782,46250,41135,42869
2020-09-30,42862,44379,37260,41372
2020-10-31,41371,54113,39825,53931
2020-11-30,54217,74067,52257,73142
2020-12-31,73172,109251,64469,108871
2021-01-31,123523,154755,105391,128735
2021-02-28,123001,213168,120602,173221
2021-03-31,169509,238029,168187,232894
2021-04-30,232836,247209,179114,216421
2021-05-31,214902,223260,111392,135117
2021-06-30,135405,154388,109911,132609
2021-07-31,132660,159114,114322,153806
2021-08-31,158136,197778,143420,179961
2021-09-30,179850,201487,156747,174165
2021-10-31,174198,263682,172438,249934
2021-11-30,245053,275224,223023,235633
2021-12-31,235563,240802,184372,190881
2022-01-31,190767,192508,132828,156757
2022-02-28,156735,184899,142285,180655
2022-03-31,179932,206011,164476,192227
2022-04-30,192172,199474,165118,169805
2022-05-31,170072,175352,114332,135298
2022-06-30,135321,136650,83635,84310.3
2022-07-31,84267.2,113540,83965.7,110875
2022-08-31,109443,114714,92151.6,95363.7
2022-09-30,95302.8,105800,86297.4,96535.2
2022-10-31,94899.4,100930,91095.7,97707.1
2022-11-30,97735.3,100409,71004.4,76988.6
2022-12-31,76968.7,80529.8,71593.1,72672.8
2023-01-31,72693,103528,72400.1,100498
2023-02-28,100499,112681,95582.8,102972
2023-03-31,102984,126347,86354.1,122704
2023-04-30,120872,131175,112848,122159
2023-05-31,122426,123053,107685,114895
2023-06-30,114887,128045,101497,123484
2023-07-31,124287,129702,115807,117066
2023-08-31,117072,122740,103589,107154
2023-09-30,107252,119810,104894,117572
2023-10-31,118760,148787,113530,145714
2023-11-30,145650,157293,141612,150864
2023-12-31,150670,178963,150255,165333
2024-01-31,171274,194526,155448,170637
2024-02-29,170678,175604,167609,174639
