Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1999-10-31,50,50.03,50,50.03
1999-11-30,50.08,50.54,50.08,50.54
1999-12-31,50.55,51.02,50.55,51.02
2000-01-31,51.1,51.58,51.1,51.58
2000-02-29,51.6,52.09,51.6,52.09
2000-03-31,52.11,52.62,52.11,52.62
2000-04-30,52.68,53.18,52.68,53.18
2000-05-31,53.3,53.84,53.3,53.84
2000-06-30,53.86,54.53,53.86,54.53
2000-07-31,54.6,55.23,54.6,55.23
2000-08-31,55.25,55.92,55.25,55.92
2000-09-30,55.95,56.58,55.95,56.58
2000-10-31,56.64,57.29,56.64,57.29
2000-11-30,57.34,57.97,57.34,57.97
2000-12-31,57.99,58.62,57.99,58.62
2001-01-31,58.71,59.36,58.71,59.36
2001-02-28,59.38,60,59.38,60
2001-03-31,60.02,60.71,60.02,60.71
2001-04-30,60.78,61.45,60.78,61.45
2001-05-31,61.49,62.2,61.49,62.2
2001-06-30,62.23,62.91,62.23,62.91
2001-07-31,62.98,63.67,62.98,63.67
2001-08-31,63.69,64.4,63.69,64.4
2001-09-30,64.46,65.03,64.46,65.03
2001-10-31,65.09,66.32,65.09,66.32
2001-11-30,66.37,67.54,66.37,67.37
2001-12-31,67.57,68.23,67.42,68.23
2002-01-31,68.24,69.73,68.24,69.67
2002-02-28,69.64,69.66,69.23,69.6
2002-03-31,69.61,70.12,69.61,70.1
2002-04-30,70.15,70.86,70.06,70.79
2002-05-31,70.85,71.63,70.85,71.63
2002-06-30,71.7,73.16,71.7,73.16
2002-07-31,73.28,73.47,72.64,73.47
2002-08-31,73.52,74.51,73.52,74.51
2002-09-30,74.56,75.92,74.56,75.92
2002-10-31,76.04,77.44,76.02,77.44
2002-11-30,77.54,78.48,77.54,78.09
2002-12-31,78.15,79.03,78.14,79.03
2003-01-31,79.14,79.41,79.14,79.27
2003-02-28,79.21,80.04,79.1,80.04
2003-03-31,80.05,80.48,79.95,80.48
2003-04-30,80.52,81.23,80.52,81.23
2003-05-31,81.35,82.13,81.35,82.01
2003-06-30,82.06,82.24,82.01,82.08
2003-07-31,82.1,82.11,81.27,81.34
2003-08-31,81.37,81.72,81.31,81.61
2003-09-30,81.66,81.68,81.44,81.44
2003-10-31,81.34,81.48,80.57,80.57
2003-11-30,80.51,80.71,80.04,80.07
2003-12-31,80.02,81.11,80.02,81.11
2004-01-31,81.13,81.33,80.87,81.13
2004-02-29,81.08,81.47,81.04,81.4
2004-03-31,81.43,81.77,81.37,81.77
2004-04-30,81.76,81.77,81.32,81.32
2004-05-31,81.32,81.32,80.73,81.06
2004-06-30,81.11,81.47,80.98,81.42
2004-07-31,81.44,81.48,81.21,81.43
2004-08-31,81.52,82.05,81.49,81.98
2004-09-30,81.94,82.84,81.94,82.84
2004-10-31,83.09,83.38,83,83.31
2004-11-30,83.36,84.56,83.36,84.39
2004-12-31,84.44,86.08,84.44,86.08
2005-01-31,86.17,86.22,85.68,86.21
2005-02-28,86.25,88.28,86.25,88.28
2005-03-31,88.21,88.51,87.9,88.31
2005-04-30,88.41,88.79,88.41,88.71
2005-05-31,88.75,89.86,88.75,89.86
2005-06-30,90.24,91.84,90.24,91.84
2005-07-31,91.88,92.05,91.55,91.56
2005-08-31,91.44,92.2,91.4,92.2
2005-09-30,92.39,93.03,92.39,92.64
2005-10-31,92.55,92.61,91.8,91.84
2005-11-30,91.75,92.04,90.98,91.8
2005-12-31,91.77,92.64,91.76,92.47
2006-01-31,92.46,93.18,92.46,93.09
2006-02-28,93.26,94.05,93.26,94.05
2006-03-31,94.17,94.17,93.65,93.65
2006-04-30,93.72,93.95,93.6,93.61
2006-05-31,93.65,93.79,93.48,93.69
2006-06-30,93.69,93.77,92.54,92.93
2006-07-31,93.12,93.71,92.69,93.4
2006-08-31,93.4,93.76,93.4,93.76
2006-09-30,93.68,94.14,93.67,93.99
2006-10-31,94.03,94.88,94.03,94.88
2006-11-30,94.91,95.4,94.9,95.38
2006-12-31,95.43,95.77,95.43,95.71
2007-01-31,95.83,96.19,95.8,96.1
2007-02-28,96.08,96.2,96.01,96.07
2007-03-31,96.13,96.38,96.13,96.35
2007-04-30,96.25,96.42,96.23,96.42
2007-05-31,96.43,96.63,96.41,96.6
2007-06-30,96.63,96.67,95.95,95.99
2007-07-31,96,96.35,95.91,96.27
2007-08-31,96.25,96.4,96.15,96.33
2007-09-30,96.37,96.84,96.37,96.83
2007-10-31,96.86,97.14,96.78,97.08
2007-11-30,97.05,97.05,96.57,96.66
2007-12-31,96.53,96.83,96.44,96.77
2008-01-31,96.7,97.93,96.7,97.93
2008-02-29,98.01,98.01,97.2,97.21
2008-03-31,97.24,97.69,96.87,97.63
2008-04-30,97.66,98.1,97.44,98.1
2008-05-31,98.1,98.11,97.65,97.76
2008-06-30,97.75,97.75,97.13,97.13
2008-07-31,97.26,98.77,96.94,98.77
