Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1801-12-31,-2,-2,-2,-2
1802-12-31,-14,-14,-14,-14
1803-12-31,4.7,4.7,4.7,4.7
1804-12-31,4.7,4.7,4.7,4.7
1805-12-31,4.7,4.7,4.7,4.7
1806-12-31,4.4,4.4,4.4,4.4
1807-12-31,-6.4,-6.4,-6.4,-6.4
1808-12-31,9.1,9.1,9.1,9.1
1809-12-31,-2.1,-2.1,-2.1,-2.1
1810-12-31,-2.1,-2.1,-2.1,-2.1
1811-12-31,6.4,6.4,6.4,6.4
1812-12-31,2,2,2,2
1813-12-31,13.7,13.7,13.7,13.7
1814-12-31,8.6,8.6,8.6,8.6
1815-12-31,-12.7,-12.7,-12.7,-12.7
1816-12-31,-7.3,-7.3,-7.3,-7.3
1817-12-31,-5.9,-5.9,-5.9,-5.9
1818-12-31,-4.2,-4.2,-4.2,-4.2
1819-12-31,-4.2,-4.2,-4.2,-4.2
1820-12-31,-8.7,-8.7,-8.7,-8.7
1821-12-31,-4.8,-4.8,-4.8,-4.8
1822-12-31,-4.8,-4.8,-4.8,-4.8
1823-12-31,-10,-10,-10,-10
1824-12-31,-8.3,-8.3,-8.3,-8.3
1825-12-31,3,3,3,3
1826-12-31,3,3,3,3
1827-12-31,3,3,3,3
1828-12-31,-2.9,-2.9,-2.9,-2.9
1829-12-31,-3,-3,-3,-3
1830-12-31,-3,-3,-3,-3
1831-12-31,-3,-3,-3,-3
1832-12-31,-6.3,-6.3,-6.3,-6.3
1833-12-31,-3.3,-3.3,-3.3,-3.3
1834-12-31,3.4,3.4,3.4,3.4
1835-12-31,3.3,3.3,3.3,3.3
1836-12-31,6.5,6.5,6.5,6.5
1837-12-31,3,3,3,3
1838-12-31,-5.9,-5.9,-5.9,-5.9
1839-12-31,-5.9,-5.9,-5.9,-5.9
1840-12-31,-6.3,-6.3,-6.3,-6.3
1841-12-31,3.3,3.3,3.3,3.3
1842-12-31,-6.5,-6.5,-6.5,-6.5
1843-12-31,-3.4,-3.4,-3.4,-3.4
1844-12-31,-3.4,-3.4,-3.4,-3.4
1845-12-31,-3.4,-3.4,-3.4,-3.4
1846-12-31,-3.6,-3.6,-3.6,-3.6
1847-12-31,3.7,3.7,3.7,3.7
1848-12-31,-7.1,-7.1,-7.1,-7.1
1849-12-31,-3.8,-3.8,-3.8,-3.8
1850-12-31,-3.8,-3.8,-3.8,-3.8
1851-12-31,-3.8,-3.8,-3.8,-3.8
1852-12-31,-3.8,-3.8,-3.8,-3.8
1853-12-31,-3.8,-3.8,-3.8,-3.8
1854-12-31,8,8,8,8
1855-12-31,3.7,3.7,3.7,3.7
1856-12-31,-3.6,-3.6,-3.6,-3.6
1857-12-31,3.7,3.7,3.7,3.7
1858-12-31,-7.1,-7.1,-7.1,-7.1
1859-12-31,3.8,3.8,3.8,3.8
1860-12-31,3.8,3.8,3.8,3.8
1861-12-31,3.8,3.8,3.8,3.8
1862-12-31,11.1,11.1,11.1,11.1
1863-12-31,23.3,23.3,23.3,23.3
1864-12-31,27,27,27,27
1865-12-31,-2.1,-2.1,-2.1,-2.1
1866-12-31,-4.3,-4.3,-4.3,-4.3
1867-12-31,-4.5,-4.5,-4.5,-4.5
1868-12-31,-4.8,-4.8,-4.8,-4.8
1869-12-31,-4.8,-4.8,-4.8,-4.8
1870-12-31,-5,-5,-5,-5
1871-12-31,-5.3,-5.3,-5.3,-5.3
1872-12-31,-5.3,-5.3,-5.3,-5.3
1873-12-31,-5.3,-5.3,-5.3,-5.3
1874-12-31,-5.6,-5.6,-5.6,-5.6
1875-12-31,-2.9,-2.9,-2.9,-2.9
1876-12-31,-3,-3,-3,-3
1877-12-31,-3,-3,-3,-3
1878-12-31,-9.4,-9.4,-9.4,-9.4
1879-12-31,-3.4,-3.4,-3.4,-3.4
1880-12-31,3.6,3.6,3.6,3.6
1881-12-31,3.6,3.6,3.6,3.6
1882-12-31,3.6,3.6,3.6,3.6
1883-12-31,-3.4,-3.4,-3.4,-3.4
1884-12-31,-3.6,-3.6,-3.6,-3.6
1885-12-31,-3.6,-3.6,-3.6,-3.6
1886-12-31,-3.6,-3.6,-3.6,-3.6
1887-12-31,-3.6,-3.6,-3.6,-3.6
1888-12-31,-3.6,-3.6,-3.6,-3.6
1889-12-31,-3.6,-3.6,-3.6,-3.6
1890-12-31,-3.6,-3.6,-3.6,-3.6
1891-12-31,-3.6,-3.6,-3.6,-3.6
1892-12-31,-3.6,-3.6,-3.6,-3.6
1893-12-31,-3.6,-3.6,-3.6,-3.6
1894-12-31,-3.7,-3.7,-3.7,-3.7
1895-12-31,-3.8,-3.8,-3.8,-3.8
1896-12-31,-3.8,-3.8,-3.8,-3.8
1897-12-31,-3.8,-3.8,-3.8,-3.8
1898-12-31,-3.8,-3.8,-3.8,-3.8
1899-12-31,-3.8,-3.8,-3.8,-3.8
1900-12-31,-3.8,-3.8,-3.8,-3.8
1901-12-31,-3.8,-3.8,-3.8,-3.8
1902-12-31,4,4,4,4
1903-12-31,3.8,3.8,3.8,3.8
1904-12-31,3.8,3.8,3.8,3.8
1905-12-31,3.8,3.8,3.8,3.8
1906-12-31,3.8,3.8,3.8,3.8
1907-12-31,3.7,3.7,3.7,3.7
1908-12-31,-3.6,-3.6,-3.6,-3.6
1909-12-31,-3.6,-3.6,-3.6,-3.6
1910-12-31,3.7,3.7,3.7,3.7
1911-12-31,3.7,3.7,3.7,3.7
1912-12-31,3.6,3.6,3.6,3.6
1913-12-31,2.4,2.4,2.4,2.4
1914-12-31,2.04,3.03,0.99,1
1915-12-31,1,2.04,-0.98,1.98
1916-12-31,2.97,12.62,2.97,12.62
1917-12-31,12.5,20.37,12.5,18.1
1918-12-31,19.66,20.74,12.7,20.44
1919-12-31,17.86,17.86,13.13,14.55
1920-12-31,16.97,23.67,2.65,2.65
1921-12-31,-1.55,-1.55,-15.79,-10.82
1922-12-31,-11.05,-2.31,-11.05,-2.31
1923-12-31,-0.59,3.61,-0.59,2.37
1924-12-31,2.98,2.98,-0.58,-0.58
1925-12-31,1.17,4.65,1.17,3.47
1926-12-31,3.47,4.07,-1.69,-1.12
1927-12-31,-2.23,-0.56,-3.35,-2.26
1928-12-31,-1.14,-0.58,-2.84,-1.16
1929-12-31,-1.16,1.17,-1.17,0.58
1930-12-31,-0.58,0.59,-6.4,-6.4
1931-12-31,-7.02,-7.02,-10.37,-9.32
1932-12-31,-10.06,-9.93,-10.74,-10.27
1933-12-31,-9.79,0.76,-10,0.76
1934-12-31,2.33,5.56,1.52,1.52
1935-12-31,3.03,3.76,0.74,2.99
1936-12-31,1.47,2.19,-0.72,1.45
1937-12-31,2.17,5.11,2.17,2.86
1938-12-31,0.71,0.71,-4.11,-2.78
1939-12-31,-1.41,-1.41,-2.82,-2.13
1940-12-31,-0.71,2.17,-0.71,0.71
1941-12-31,1.44,10,0.71,9.93
1942-12-31,11.35,13.19,9.03,9.03
1943-12-31,7.64,8.07,2.96,2.96
1944-12-31,2.96,2.96,0.57,2.3
1945-12-31,2.3,2.84,1.71,2.25
1946-12-31,2.25,18.13,1.69,18.13
1947-12-31,18.13,19.67,8.45,8.84
1948-12-31,10.23,10.23,2.99,2.99
1949-12-31,1.27,1.71,-2.87,-2.07
1950-12-31,-2.08,5.93,-2.08,5.93
1951-12-31,8.09,9.36,6,6
1952-12-31,4.33,4.33,0.75,0.75
1953-12-31,0.38,1.14,0.37,0.75
1954-12-31,1.13,1.51,-0.74,-0.74
1955-12-31,-0.74,0.37,-0.74,0.37
1956-12-31,0.37,2.99,0.37,2.99
1957-12-31,2.99,3.73,2.9,2.9
1958-12-31,3.62,3.62,1.76,1.76
1959-12-31,1.4,1.73,0.35,1.73
1960-12-31,1.03,1.73,1.02,1.36
1961-12-31,1.71,1.71,0.67,0.67
1962-12-31,0.67,1.34,0.67,1.33
1963-12-31,1.33,1.64,0.99,1.64
1964-12-31,1.64,1.64,0.97,0.97
1965-12-31,0.97,1.94,0.97,1.92
1966-12-31,1.92,3.79,1.92,3.46
1967-12-31,3.46,3.46,2.43,3.04
1968-12-31,3.65,4.75,3.65,4.72
1969-12-31,4.4,6.2,4.4,6.2
1970-12-31,6.18,6.18,5.41,5.57
1971-12-31,5.29,5.29,3.27,3.27
1972-12-31,3.27,3.67,2.71,3.41
1973-12-31,3.65,8.71,3.65,8.71
1974-12-31,9.39,12.34,9.39,12.34
1975-12-31,11.8,11.8,6.94,6.94
1976-12-31,6.72,6.72,4.86,4.86
1977-12-31,5.22,6.95,5.22,6.7
1978-12-31,6.84,9.02,6.43,9.02
1979-12-31,9.28,13.29,9.28,13.29
1980-12-31,13.91,14.76,12.52,12.52
1981-12-31,11.83,11.83,8.92,8.92
1982-12-31,8.39,8.39,3.83,3.83
1983-12-31,3.71,3.9,2.46,3.79
1984-12-31,4.19,4.8,3.95,3.95
1985-12-31,3.53,3.8,3.14,3.8
1986-12-31,3.89,3.89,1.1,1.1
1987-12-31,1.46,4.53,1.46,4.43
1988-12-31,4.05,4.42,3.89,4.42
1989-12-31,4.67,5.36,4.34,4.65
1990-12-31,5.2,6.29,4.36,6.11
1991-12-31,5.65,5.65,2.92,3.06
1992-12-31,2.6,3.2,2.6,2.9
1993-12-31,3.26,3.26,2.68,2.75
1994-12-31,2.52,2.96,2.29,2.67
1995-12-31,2.8,3.19,2.54,2.54
1996-12-31,2.73,3.32,2.65,3.32
1997-12-31,3.04,3.04,1.7,1.7
1998-12-31,1.57,1.69,1.37,1.61
1999-12-31,1.67,2.68,1.61,2.68
2000-12-31,2.74,3.76,2.74,3.39
2001-12-31,3.73,3.73,1.55,1.55
2002-12-31,1.14,2.38,1.07,2.38
2003-12-31,2.6,3.02,1.77,1.88
2004-12-31,1.93,3.52,1.69,3.26
2005-12-31,2.97,4.69,2.53,3.42
2006-12-31,3.99,4.32,1.31,2.54
2007-12-31,2.08,4.31,1.97,4.08
2008-12-31,4.28,5.6,0.09,0.09
2009-12-31,0.03,2.72,-2.1,2.72
2010-12-31,2.63,2.63,1.05,1.5
2011-12-31,1.63,3.9,1.63,3
2012-12-31,2.9,2.9,1.4,1.7
2013-12-31,1.6,2,1,1.5
2014-12-31,1.6,2.1,0.8,0.8
2015-12-31,0,0.7,-0.1,0.7
2016-12-31,1.4,2.1,0.8,2.1
2017-12-31,2.5,2.7,1.6,2.1
2018-12-31,2.1,2.9,1.9,1.9
2019-12-31,1.6,2.3,1.5,2.3
2020-12-31,2.5,2.5,0.1,1.4
2021-12-31,1.4,7,1.4,7
2022-12-31,7.5,9.1,6.5,6.5
2023-12-31,6.4,6.4,3,3.4
