Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1793-12-31,19.39,19.39,19.39,19.39
1794-12-31,19.39,19.39,19.39,19.39
1795-12-31,19.39,19.39,19.39,19.39
1796-12-31,19.39,19.39,19.39,19.39
1797-12-31,19.39,19.39,19.39,19.39
1798-12-31,19.39,19.39,19.39,19.39
1799-12-31,19.39,19.39,19.39,19.39
1800-12-31,19.39,19.39,19.39,19.39
1801-12-31,19.39,19.39,19.39,19.39
1802-12-31,19.39,19.39,19.39,19.39
1803-12-31,19.39,19.39,19.39,19.39
1804-12-31,19.39,19.39,19.39,19.39
1805-12-31,19.39,19.39,19.39,19.39
1806-12-31,19.39,19.39,19.39,19.39
1807-12-31,19.39,19.39,19.39,19.39
1808-12-31,19.39,19.39,19.39,19.39
1809-12-31,19.39,19.39,19.39,19.39
1810-12-31,19.39,19.39,19.39,19.39
1811-12-31,19.39,19.39,19.39,19.39
1812-12-31,19.39,19.39,19.39,19.39
1813-12-31,19.39,19.39,19.39,19.39
1814-12-31,19.39,21.79,19.39,21.79
1815-12-31,21.79,23.07,19.78,22.16
1816-12-31,22.16,22.16,19.74,19.84
1817-12-31,19.84,19.89,19.39,19.39
1818-12-31,19.39,19.39,19.39,19.39
1819-12-31,19.39,19.39,19.39,19.39
1820-12-31,19.39,19.39,19.39,19.39
1821-12-31,19.39,19.39,19.39,19.39
1822-12-31,19.39,19.39,19.39,19.39
1823-12-31,19.39,19.39,19.39,19.39
1824-12-31,19.39,19.39,19.39,19.39
1825-12-31,19.39,19.39,19.39,19.39
1826-12-31,19.39,19.39,19.39,19.39
1827-12-31,19.39,19.39,19.39,19.39
1828-12-31,19.39,19.39,19.39,19.39
1829-12-31,19.39,19.39,19.39,19.39
1830-12-31,19.39,19.39,19.39,19.39
1831-12-31,19.39,19.39,19.39,19.39
1832-12-31,19.39,19.39,19.39,19.39
1833-12-31,19.39,19.39,19.39,19.39
1834-12-31,19.39,20.69,19.39,20.69
1835-12-31,20.69,20.69,20.69,20.69
